gene_names,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps,num_effect_snps,adsp_size.y,ukb_size.y,gene_ind.y,uniprot_id,protein_name,chr,start,end
ADAMTS8,0.689906351069021,0.659974374341796,0.276027185889998,0.286817050739588,10454,312549,24,ADAMTS8,0.968818434596254,0.823894291196256,0.534473221872871,0.47039451484178,0.373536054159666,0.228779890575056,0.202401779615482,0.0162553842856873,1045,269,10454,312549,24,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888
ADAMTSL4,0.0749051714497088,0.491972965892694,0.96289968564754,0.359797541759319,10454,318239,25,ADAMTSL4,0.0399045755965748,0.120476589437927,0.916987018047756,0.933148406280704,0.381510938248568,0.165835503830654,0.0419611298788084,0.00417518399304742,733,139,10454,318239,25,Q6UY14,ADAMTS-like protein 4,1,150521884,150533413
ADAMTSL5,0.849126736807731,0.550840735387033,0.957977453747831,0.863337905540208,10454,317414,26,ADAMTSL5,0.467150098197305,0.673866785911865,0.609605763316066,0.348270848812423,0.178913396061487,0.109463027687348,0.0736825971199426,9.83788728788673e-05,985,210,10454,317414,26,Q6ZMM2,ADAMTS-like protein 5,19,1505017,1513603
ADD1,0.476823625493289,0.461693456937367,0.755799902480566,0.936878601782098,10454,318083,27,ADD1,0.523361732448641,100,100,0.266394324580333,100,100,0.0102687824142724,2.28775736584777e-05,936,32,10454,318083,27,P35611,Alpha-adducin,4,2845584,2931803
ADGRB3,0.518173376413516,0.535804914082924,0.480117326544124,0.48111626380978,10454,312975,28,ADGRB3,0.932048752068933,0.763080500411353,0.465144204585615,0.727424221549929,0.703137958509608,0.445172484652032,0.588082396969079,0.0759427821665452,2514,310,10454,312975,28,O60242,Adhesion G protein-coupled receptor B3,6,69345259,70099403
ADGRD1,0.857316582059356,0.558288949419438,0.218693961841852,0.240471736389397,10454,318083,29,ADGRD1,0.651370993539692,0.647978470957853,0.41529271462631,0.62799858080895,0.744219097709867,0.550705506559443,0.163363110410162,0.0705337498820473,1964,464,10454,318083,29,Q6QNK2,Adhesion G-protein coupled receptor D1,12,131438452,131626014
ADGRE1,0.599614928495566,0.498496710471644,0.188570989616579,0.243163410744996,10454,317541,30,ADGRE1,0.573643678198567,0.76952928545293,0.648865138677271,5.58984905342028e-05,0.000198677126681395,0.367851188129968,0.0751236304465956,0.0137561690320853,1486,369,10454,317541,30,Q14246,Adhesion G protein-coupled receptor E1,19,6887577,6940470
ADGRE2,0.920776050157303,0.917162091061864,0.631199801744216,0.73926182051308,10454,312493,31,ADGRE2,0.626729874412121,0.833770334807095,0.721480726756451,0.378963357208863,0.677657125951406,0.948531265430232,0.0600974894128276,0.00113587031506104,1527,179,10454,312493,31,Q9UHX3,Adhesion G protein-coupled receptor E2,19,14843205,14889353
ADGRE5,0.849059757632653,0.797285426432816,0.222547928340396,0.250671497251345,10454,312386,32,ADGRE5,0.324072238761865,0.597833594722014,0.812134118804675,0.21713229013325,0.0179721215286283,0.0106990262332973,0.0197693831229251,4.44768016704351e-05,1138,206,10454,312386,32,P48960,Adhesion G protein-coupled receptor E5,19,14491313,14519537
ADIPOQ,0.583223824790264,0.565009550896893,0.928997808586157,0.828808680479815,10454,317354,33,ADIPOQ,0.479218187392754,0.274887119897404,0.14903776284752,0.651745857076145,0.206653956115799,0.0858930368477586,0.0602915392777831,0.00537906867083433,1335,217,10454,317354,33,Q15848,Adiponectin,3,186560463,186576252
ADM,0.483440877157787,0.613494728341772,0.226508034525891,0.672486883896012,10454,312360,34,ADM,0.0688331766231941,0.17491972222139,0.674504513926648,0.0493230782131419,0.144232158319565,0.927213935810251,0.0203277965959378,2.96506027985644e-05,1446,42,10454,312360,34,P35318,Pro-adrenomedullin,11,10326227,10328944
AFAP1,0.124309606366108,0.669786942190262,0.0230633460938997,0.956362621404237,10454,318083,35,AFAP1,0.0286348343977348,0.00140096630760089,0.00385351730556948,0.0461923943364925,0.129100107597361,0.72927781650435,0.510809189920655,0.0723280241342102,1890,224,10454,318083,35,Q8N556,Actin filament-associated protein 1,4,7760441,7941653
AFP,0.390197830789255,0.469813599635873,0.775408712244084,0.766936471811402,10454,313027,36,AFP,0.946717569194857,0.575696791054945,0.294303468563663,0.100060667138121,0.258090843832227,0.947623392840286,0.0295877814426159,0.000236937631364105,537,88,10454,313027,36,P02771,Alpha-fetoprotein,4,74296855,74321891
AGER,0.0329065303118963,0.117110090352339,0.0034166759044052,0.00339389016838571,10454,312732,37,AGER,0.921372473172937,100,100,0.0107588666844589,100,100,0.020413363645811,9.44301960355711e-06,4041,143,10454,312732,37,Q15109,Advanced glycosylation end product-specific receptor,6,32148745,32152101
AGRN,0.115259969501904,0.355760816288135,0.00959466152010496,0.0161857221676186,10454,312493,38,AGRN,0.398416397828889,0.25041750342938,0.15159907075422,0.818497424187258,0.280961097692757,0.114833097220781,0.0740349992009406,0.0093205430707784,439,258,10454,312493,38,O00468,Agrin,1,955503,991496
AGT,0.341290165284709,0.447714080636469,0.712402857858563,0.720659067607169,10454,317378,39,AGT,0.501588262866778,0.688867543572556,0.58776657194583,0.858013540025753,0.034507902988421,0.0096352536838575,0.130851571969951,0.00411419199357913,1416,269,10454,317378,39,P01019,Angiotensinogen,1,230838269,230850043
AGXT,0.989703235925514,0.534209170915723,0.0683172199060989,0.659390338723551,10454,312630,40,AGXT,0.0143991630675266,0.0460479938544721,0.681997030057501,0.270238653576264,0.189080759343027,0.145802474199168,0.0361904993622142,6.07610207240285e-05,1273,56,10454,312630,40,P21549,Serine--pyruvate aminotransferase,2,241807896,241819919
AHCY,0.952984025931719,0.588205311128788,0.990576107824376,0.799343759303606,10454,312630,41,AHCY,0.484320783672174,0.664555216984381,0.566742306525348,0.427095258186695,0.439562276262179,0.314127445910398,0.0192712653899571,0.011353564127419,459,181,10454,312630,41,P23526,Adenosylhomocysteinase,20,32868074,32899608
AHNAK2,0.95933394289616,0.584777920503116,0.918837513795092,0.95947246580236,10454,318239,42,AHNAK2,0.474919906241918,0.476499234117275,0.324169379069469,0.0558498225851846,0.160658123387786,0.983483230684474,0.02695251816576,1.30521592984379e-06,678,110,10454,318239,42,Q8IVF2,Protein AHNAK2,14,105403581,105444694
AHSG,0.985002166186948,0.563181677769426,0.578442723281032,0.558416893191656,10454,317378,43,AHSG,0.940525622405926,0.900287834663543,0.651108497629728,0.756051509345448,0.493488680611127,0.251312459533671,0.265608736822431,0.00608356190087779,1309,314,10454,317378,43,P02765,Alpha-2-HS-glycoprotein,3,186330712,186339107
AIF1,0.623797083573914,0.483210750042727,0.746855657913959,0.951760272981067,10454,313474,44,AIF1,0.541972973874277,100,100,0.720621735104655,100,100,0.0110694864373838,4.79496585843885e-07,4084,45,10454,313474,44,P55008,Allograft inflammatory factor 1,6,31582961,31584798
AIF1L,0.200166407402369,0.388337911455309,0.395363389343586,0.588817538295671,10454,318239,45,AIF1L,0.102382952847362,100,100,0.382268683434757,100,100,0.0256493597405412,4.10939789783125e-06,829,32,10454,318239,45,Q9BQI0,Allograft inflammatory factor 1-like,9,133971863,133998539
AKR7L,0.718732876649428,0.69739764879169,0.97345496490729,0.472806701376214,10454,318326,46,AKR7L,0.806995859069971,0.541231003766903,0.279795890411694,0.114305169658323,0.056983120962341,0.0720216761137534,0.0195013494876456,2.25403086587023e-05,1510,66,10454,318326,46,Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688
ALCAM,0.358446827597668,0.619688241948454,0.94700695724709,0.30033655614166,10454,312214,47,ALCAM,0.211855726043954,100,100,0.594092752026606,100,100,0.0194644643391407,0.000133233932407505,1603,158,10454,312214,47,Q13740,CD166 antigen,3,105085753,105295744
ALDH3A1,0.083184843006216,0.339940333896401,0.570805970385533,0.972603182053363,10454,312773,48,ALDH3A1,0.28380216145687,0.249254436361846,0.201738032486949,0.189087789397292,0.375580967866253,0.628680758987017,0.0928580880780482,1.27240190859381e-06,612,65,10454,312773,48,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256
ALDH5A1,0.771544244339779,0.540002647664627,0.0517959468086183,0.147374750966075,10454,317463,49,ALDH5A1,0.145727857282904,0.0799683942531852,0.0866357784389076,0.114340078124914,0.032473398429412,0.03676036640518,0.0107236793432323,0.000454445026780377,1145,56,10454,317463,49,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435
ALPP,0.394166396122621,0.493775533248101,0.3245493201857,0.999999724109499,10454,312825,50,ALPP,0.389322881121281,0.22920771755793,0.137552528524002,0.753193273860106,0.674676094848803,0.406785155349372,0.178469958367083,0.0071045725416668,851,180,10454,312825,50,P05187,"Alkaline phosphatase, placental type",2,233243244,233247599
AMBP,0.740741261879124,0.5357774914774,0.764387344859069,0.966548988382033,10454,312413,51,AMBP,0.348916552187886,0.529175868757381,0.529423292166263,0.401071714606675,0.544861953257886,0.475426793867496,0.0134517395535668,0.000382365917525564,1301,235,10454,312413,51,P02760,Protein AMBP,9,116822407,116840752
AMIGO2,0.0870098905324346,0.320456864621398,0.337852356038023,0.996223164128585,10454,312825,52,AMIGO2,0.136113181882969,100,100,0.482766313146913,100,100,0.0320694029451259,2.84568249094514e-06,1216,179,10454,312825,52,Q86SJ2,Amphoterin-induced protein 2,12,47469490,47473734
AMN,0.486015667529448,0.55147947275193,0.794868991468095,0.81878508385437,10454,313327,53,AMN,0.65457605463973,0.597765813416225,0.362589951267592,0.96070888199751,0.99450903086537,0.926176379875623,0.160478183847948,1.96407495244562e-06,708,449,10454,313327,53,Q9BXJ7,Protein amnionless,14,103388993,103399933
AMPD3,0.701872985406739,0.493763075623435,0.57160549283037,0.776753208627908,10454,317485,54,AMPD3,0.783208642414448,0.244178743730899,0.0976274713598313,0.552782519945041,0.838419199305992,0.991304926905351,0.0348440053420892,0.0221203141015316,1704,366,10454,317485,54,Q01432,AMP deaminase 3,11,10329860,10529126
AMY1A_AMY1B_AMY1C,0.974729770258746,0.596827033914386,0.404862194088313,0.950707842613816,10454,319363,55,AMY1A_AMY1B_AMY1C,0.610182909866976,0.363007246915974,0.18379296732796,0.266454237281149,0.0168715015457941,0.00847929920022914,0.150749031036964,0.00166444253752894,420,213,10454,319363,55,P0DUB6_P0DTE7_P0DTE8,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312
AMY2A,0.940295834284182,0.622594546491284,0.521613503411172,0.387863819789153,10454,314059,56,AMY2A,0.327813914092631,0.61861051307565,0.95566955084137,0.540053402521084,0.777897837361707,0.721689408973035,0.185642552462408,0.040737069738292,434,249,10454,314059,56,P04746,Pancreatic alpha-amylase,1,104159999,104168402
AMY2B,0.970807581709802,0.637438681998463,0.121163944152604,0.126878210253101,10454,315075,57,AMY2B,0.296469817284107,0.578674997349827,0.949105867792676,0.542272605130671,0.809081089568532,0.818991464961726,0.184133273621427,0.0340351183659369,500,201,10454,315075,57,P19961,Alpha-amylase 2B,1,104096437,104122156
ANG,0.693706003843581,0.802681975173892,0.781425494556532,0.610044779784944,10454,312730,58,ANG,0.0879835970868033,0.23156093999244,0.902270715584701,0.600603788577228,0.725908490426076,0.544876427180253,0.216323958203242,0.00274440084833032,1589,88,10454,312730,58,P03950,Angiogenin,14,21152336,21167130
ANGPT2,0.800499211071676,0.812620404923228,0.570664453181636,0.737268253711352,10454,312360,59,ANGPT2,0.726217591329261,100,100,0.908169351834525,100,100,0.0178914830586268,6.16137384012753e-05,1971,158,10454,312360,59,O15123,Angiopoietin-2,8,6357172,6420930
ANGPTL1,0.169109383964349,0.272163798368766,0.728465829039526,0.611024994691639,10454,313138,60,ANGPTL1,0.413299558927955,0.68479766468608,0.766732206144226,0.811961811330545,0.971623437947918,0.975032296565564,0.0898005670042328,0.00582336192348397,931,62,10454,313138,60,O95841,Angiopoietin-related protein 1,1,178818840,178840187
ANGPTL3,0.165585772464505,0.28795337665429,0.040888099253214,0.0356509698497308,10454,312613,61,ANGPTL3,0.281917113731274,0.47101496479918,0.555278860418656,0.544935894226963,0.778605598700163,0.714285791328737,0.0450743383320838,0.000269941852285256,1062,98,10454,312613,61,Q9Y5C1,Angiopoietin-related protein 3,1,63063158,63071830
ANGPTL4,0.399369946768697,0.468959636638211,0.0823918016383414,0.167562564900585,10454,312549,62,ANGPTL4,0.208591634440146,0.0255621183588223,0.0164707041619746,0.0099018280188181,0.0279731913355695,0.479256854880869,0.0465296622425323,0.000674490251083284,1101,109,10454,312549,62,Q9BY76,Angiopoietin-related protein 4,19,8428173,8439257
ANGPTL7,0.0155900119816652,0.430610461366975,0.871440142973329,0.885162126915706,10454,312360,63,ANGPTL7,0.699225183616586,0.852535299358557,0.680288550745805,0.0775056731270724,0.208611775776443,0.892920159107455,0.0866168715315789,0.0459239113297782,580,192,10454,312360,63,O43827,Angiopoietin-related protein 7,1,11249398,11256038
ANPEP,0.390906144321751,0.40586078529893,0.523240783076024,0.541157334567269,10454,312550,64,ANPEP,0.204231323885563,0.425871398993977,0.757354952617907,0.621041247834963,0.803922758994504,0.661176633252327,0.136636265244301,0.00521830537372448,1032,159,10454,312550,64,P15144,Aminopeptidase N,15,90328120,90358633
ANXA2,0.230730098418886,0.827013288980361,0.870387367561665,0.878378131736488,10454,318723,65,ANXA2,0.932468100361302,0.891905297999613,0.637823861252078,0.0822128306324118,0.139581576611751,0.338102969056854,0.141717516256014,0.00959359658615218,914,93,10454,318723,65,P07355,Annexin A2,15,60639333,60695082
AOC1,0.27457096318183,0.509578579801809,0.929381714781375,0.757374251020917,10454,313327,66,AOC1,0.366931056158778,0.665207316150729,0.971011323897442,0.0272256350245428,0.0864783213791322,0.889550658970086,0.0287790008787114,0.000149707177738831,1570,58,10454,313327,66,P19801,Amiloride-sensitive amine oxidase [copper-containing],7,150521715,150558592
AOC3,0.00675383681218494,0.178165207423107,0.872307709093474,0.935763839418486,10454,312497,67,AOC3,0.669938032165526,0.531246498474893,0.297951454074876,0.0252374084720221,0.0713107683999043,0.600726526111254,0.183532753730667,0.0276983298603724,680,127,10454,312497,67,Q16853,Membrane primary amine oxidase,17,41003201,41010147
AP1G2,0.774215573133686,0.605185653838076,0.646058244897798,0.772647139777936,10454,317550,68,AP1G2,0.850727823684966,0.878082413292995,0.635553187312538,0.829593378554614,0.731637089363996,0.446853936581368,0.0105774653568881,1.99438138576579e-05,850,71,10454,317550,68,O75843,AP-1 complex subunit gamma-like 2,14,24028774,24037279
APBB1IP,0.715560867807224,0.745536773061748,0.857140612968956,0.815194931819691,10454,312825,69,APBB1IP,0.147323344937923,100,100,0.101393250587598,100,100,0.0218096540264403,6.10968566897613e-07,1650,41,10454,312825,69,Q7Z5R6,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,10,26727132,26856732
APCS,0.119338906818032,0.577549047301543,0.604458703653507,0.947302780013186,10454,317629,70,APCS,0.356301750921957,0.612256036292721,0.718061453755926,0.112891777505417,0.246917965918886,0.59400296972196,0.0262005961182233,0.000854959820748423,833,96,10454,317629,70,P02743,Serum amyloid P-component,1,159557615,159558655
APEX1,0.513618248516643,0.393317033375472,0.52566341979548,0.797452079148583,10454,312484,71,APEX1,0.615866998850871,100,100,0.885844484585935,100,100,0.0736038984674808,1.76725589791135e-05,1749,37,10454,312484,71,P27695,DNA-(apurinic or apyrimidinic site) endonuclease,14,20923350,20925927
APOA4,0.257625897296524,0.462103270553546,0.758601612997137,0.71357994245112,10454,317354,72,APOA4,0.139943009913854,100,100,0.865921033523432,100,100,0.0110966060874185,1.29877245363359e-06,1215,36,10454,317354,72,P06727,Apolipoprotein A-IV,11,116691419,116694022
APOBR,0.0524991433988888,0.548536161772882,0.0333272229055235,0.894701295070228,10454,318239,73,APOBR,0.0355895898336909,0.0660143134286519,0.312692760087354,0.287230864533601,0.12298093306508,0.0802963465811019,0.671092051113372,0.107205573759854,378,47,10454,318239,73,Q0VD83,Apolipoprotein B receptor,16,28505970,28510291
APOC1,0.00138372341272597,0.0913063789004523,0.000906708483013163,0.737414968022875,10454,317415,74,APOC1,0.000509687252885102,0.00195686811224937,0.530468746108021,0.0358913044669384,0.0065651018060245,0.0174582492524551,0.0460332607699141,7.940129996814e-06,877,86,10454,317415,74,P02654,Apolipoprotein C-I,19,45417504,45422606
APOD,0.215461926209632,0.582082131594854,0.0503608340565985,0.147008594041005,10454,318788,75,APOD,0.108948907829034,100,100,0.7131840034394,100,100,0.0150818071277282,4.72717295202107e-05,867,135,10454,318788,75,P05090,Apolipoprotein D,3,195295573,195311076
APOE,0,0.0708560847390172,0,0.62228354305062,10454,317354,76,APOE,5.3959557697403e-112,1.83881523451932e-121,1.31748774908041e-12,0,0,2.85719723655717e-77,0.178445553443019,0.00152439519827324,870,151,10454,317354,76,P02649,Apolipoprotein E,19,45409011,45412650
APOF,0.406714572975952,0.84649434957762,0.0819130906498269,0.129739919383617,10454,317378,77,APOF,0.34085470883407,0.134631944533885,0.0781432625759286,0.354609376920465,0.492221323479742,0.453954101864178,0.0149123033033757,4.45476008312015e-05,428,44,10454,317378,77,Q13790,Apolipoprotein F,12,56754353,56756607
APOH,0.349124988098536,0.887460700603603,0.79861535919687,0.746874433877361,10454,312640,78,APOH,0.581579795509603,0.110207864572392,0.042708465521977,0.938710458816678,0.935887498329875,0.721975628906325,0.133968867759355,0.0117396210878103,1182,346,10454,312640,78,P02749,Beta-2-glycoprotein 1,17,64208151,64252643
APOL1,0.0284457675340233,0.248898841480775,0.00205536271266388,0.158218524811919,10454,317378,79,APOL1,0.00283121879488823,0.0100342253889692,0.589738552600664,0.0228219594223398,0.0640011913452783,0.574198036919305,0.0282895099064801,0.000496001910079206,837,45,10454,317378,79,O14791,Apolipoprotein L1,22,36649056,36663576
APOM,0.567692780607622,0.532623992516659,0.663937386910187,0.845480741287854,10454,312558,80,APOM,0.208125296653598,0.0301508293588389,0.0199246628765328,0.693545216186068,0.514997459004833,0.27900897827011,0.0392930297911715,0.00546490144385724,3924,108,10454,312558,80,O95445,Apolipoprotein M,6,31620193,31625987
APPL2,0.454851258778044,0.665328957333835,0.0111133279666494,0.855356682784056,10454,318083,81,APPL2,0.0147447349978966,100,100,0.90135247758816,100,100,0.0103550289716082,7.53803068869029e-06,1376,43,10454,318083,81,Q8NEU8,DCC-interacting protein 13-beta,12,105567074,105630016
AREG,0.389133398898025,0.466667000045319,0.585649701780956,0.506783372522435,10454,312825,82,AREG,0.353036801515863,100,100,0.155528294172727,100,100,0.0154032065993596,1.7976458404102e-06,549,34,10454,312825,82,P15514,Amphiregulin,4,75310851,75320726
ARFIP1,0.31259132339937,0.447742978898864,0.822646849855788,0.876044080164042,10454,317463,83,ARFIP1,0.704398624921523,0.0764495708206799,0.0253754638566944,0.74777205910161,0.302064106805745,0.130141497842759,0.0126051589967231,0.000622443855450285,813,18,10454,317463,83,P53367,Arfaptin-1,4,153701089,153839615
ARG1,0.0119479598274062,0.450031468538701,0.316612780368735,0.179118513410809,10454,312893,84,ARG1,0.094275666033578,0.00516605433857974,0.00542731808058518,0.231013588886557,0.468827161184661,0.776709341110502,0.0205985223005647,0.00164009725360272,909,100,10454,312893,84,P05089,Arginase-1,6,131894284,131905472
