gene_symbol,ukb_code,uniprot_id,protein_name,chr_hg19,start_bp_hg19,end_bp_hg19,olink_panel
ADAMTS13,40,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508,Cardiometabolic
ADAMTS16,42,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417,Cardiometabolic
ADAMTS8,44,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888,Oncology
ADAMTSL4,46,Q6UY14,ADAMTS-like protein 4,1,150521884,150533413,Cardiometabolic II
ADAMTSL5,47,Q6ZMM2,ADAMTS-like protein 5,19,1505017,1513603,Cardiometabolic II
ADD1,49,P35611,Alpha-adducin,4,2845584,2931803,Inflammation II
ADGRB3,50,O60242,Adhesion G protein-coupled receptor B3,6,69345259,70099403,Neurology
ADGRD1,51,Q6QNK2,Adhesion G-protein coupled receptor D1,12,131438452,131626014,Inflammation II
ADGRE1,52,Q14246,Adhesion G protein-coupled receptor E1,19,6887577,6940470,Oncology II
ADGRE2,53,Q9UHX3,Adhesion G protein-coupled receptor E2,19,14843205,14889353,Inflammation
ADGRE5,54,P48960,Adhesion G protein-coupled receptor E5,19,14491313,14519537,Cardiometabolic
ADIPOQ,61,Q15848,Adiponectin,3,186560463,186576252,Inflammation II
ADM,62,P35318,Pro-adrenomedullin,11,10326227,10328944,Oncology
AFAP1,64,Q8N556,Actin filament-associated protein 1,4,7760441,7941653,Inflammation II
AFP,66,P02771,Alpha-fetoprotein,4,74296855,74321891,Neurology
AGER,68,Q15109,Advanced glycosylation end product-specific receptor,6,32148745,32152101,Inflammation
AGRN,71,O00468,Agrin,1,955503,991496,Inflammation
AGT,73,P01019,Angiotensinogen,1,230838269,230850043,Inflammation II
AGXT,74,P21549,Serine--pyruvate aminotransferase,2,241807896,241819919,Cardiometabolic
AHCY,75,P23526,Adenosylhomocysteinase,20,32868074,32899608,Cardiometabolic
AHNAK2,77,Q8IVF2,Protein AHNAK2,14,105403581,105444694,Cardiometabolic II
AHSG,79,P02765,Alpha-2-HS-glycoprotein,3,186330712,186339107,Inflammation II
AIF1,82,P55008,Allograft inflammatory factor 1,6,31582961,31584798,Oncology
AIF1L,83,Q9BQI0,Allograft inflammatory factor 1-like,9,133971863,133998539,Cardiometabolic II
AKR7L,91,Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688,Inflammation II
ALCAM,95,Q13740,CD166 antigen,3,105085753,105295744,Cardiometabolic
ALDH3A1,98,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256,Inflammation
ALDH5A1,99,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435,Neurology II
ALPP,102,P05187,"Alkaline phosphatase, placental type",2,233243244,233247599,Oncology
AMBP,104,P02760,Protein AMBP,9,116822407,116840752,Oncology
AMIGO2,108,Q86SJ2,Amphoterin-induced protein 2,12,47469490,47473734,Oncology
AMN,109,Q9BXJ7,Protein amnionless,14,103388993,103399933,Inflammation
AMPD3,112,Q01432,AMP deaminase 3,11,10329860,10529126,Neurology II
AMY1A_AMY1B_AMY1C,113,P0DUB6_P0DTE7_P0DTE8,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312,Inflammation II
AMY2A,114,P04746,Pancreatic alpha-amylase,1,104159999,104168402,Cardiometabolic
AMY2B,115,P19961,Alpha-amylase 2B,1,104096437,104122156,Cardiometabolic
ANG,116,P03950,Angiogenin,14,21152336,21167130,Cardiometabolic
ANGPT2,118,O15123,Angiopoietin-2,8,6357172,6420930,Oncology
ANGPTL1,119,O95841,Angiopoietin-related protein 1,1,178818840,178840187,Cardiometabolic
ANGPTL3,121,Q9Y5C1,Angiopoietin-related protein 3,1,63063158,63071830,Cardiometabolic
ANGPTL4,122,Q9BY76,Angiopoietin-related protein 4,19,8428173,8439257,Inflammation
ANGPTL7,123,O43827,Angiopoietin-related protein 7,1,11249398,11256038,Oncology
ANPEP,129,P15144,Aminopeptidase N,15,90328120,90358633,Cardiometabolic
ANXA2,133,P07355,Annexin A2,15,60639333,60695082,Cardiometabolic II
AOC1,137,P19801,Amiloride-sensitive amine oxidase [copper-containing],7,150521715,150558592,Inflammation
AOC3,138,Q16853,Membrane primary amine oxidase,17,41003201,41010147,Cardiometabolic
AP1G2,139,O75843,AP-1 complex subunit gamma-like 2,14,24028774,24037279,Oncology II
APBB1IP,143,Q7Z5R6,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,10,26727132,26856732,Oncology
APCS,144,P02743,Serum amyloid P-component,1,159557615,159558655,Inflammation II
APEX1,145,P27695,DNA-(apurinic or apyrimidinic site) endonuclease,14,20923350,20925927,Oncology
APOA4,149,P06727,Apolipoprotein A-IV,11,116691419,116694022,Inflammation II
APOBR,151,Q0VD83,Apolipoprotein B receptor,16,28505970,28510291,Cardiometabolic II
APOC1,152,P02654,Apolipoprotein C-I,19,45417504,45422606,Inflammation II
APOD,153,P05090,Apolipoprotein D,3,195295573,195311076,Inflammation II
APOE,154,P02649,Apolipoprotein E,19,45409011,45412650,Inflammation II
APOF,155,Q13790,Apolipoprotein F,12,56754353,56756607,Inflammation II
APOH,156,P02749,Beta-2-glycoprotein 1,17,64208151,64252643,Neurology
APOL1,157,O14791,Apolipoprotein L1,22,36649056,36663576,Inflammation II
APOM,158,O95445,Apolipoprotein M,6,31620193,31625987,Cardiometabolic
APPL2,160,Q8NEU8,DCC-interacting protein 13-beta,12,105567074,105630016,Inflammation II
AREG,163,P15514,Amphiregulin,4,75310851,75320726,Oncology
ARFIP1,165,P53367,Arfaptin-1,4,153701089,153839615,Neurology II
ARG1,166,P05089,Arginase-1,6,131894284,131905472,Oncology
ARHGEF10,174,O15013,Rho guanine nucleotide exchange factor 10,8,1772142,1906807,Neurology II
ARHGEF5,176,Q12774,Rho guanine nucleotide exchange factor 5,7,144052381,144077725,Neurology II
ARL2BP,180,Q9Y2Y0,ADP-ribosylation factor-like protein 2-binding protein,16,57279010,57287516,Cardiometabolic II
ARSA,184,P15289,Arylsulfatase A,22,51061182,51066607,Neurology
ARSB,185,P15848,Arylsulfatase B,5,78073032,78281910,Oncology
ART3,186,Q13508,Ecto-ADP-ribosyltransferase 3,4,76932337,77033955,Cardiometabolic
ASAH1,189,Q13510,Acid ceramidase,8,17913934,17942494,Cardiometabolic II
ASAH2,190,Q9NR71,Neutral ceramidase,10,51942538,52008370,Neurology
ASGR1,191,P07306,Asialoglycoprotein receptor 1,17,7076750,7082883,Neurology
ASGR2,192,P07307,Asialoglycoprotein receptor 2,17,7004641,7019019,Inflammation II
ASPN,193,Q9BXN1,Asporin,9,95218487,95244788,Cardiometabolic II
ASPSCR1,194,Q9BZE9,Tether containing UBX domain for GLUT4,17,79934683,79975282,Neurology II
ASRGL1,195,Q7L266,Isoaspartyl peptidase/L-asparaginase,11,62104920,62160882,Cardiometabolic II
ATRAID,215,Q6UW56,All-trans retinoic acid-induced differentiation factor,2,27434895,27440046,Oncology II
ATRN,216,O75882-2,"Attractin, Isoform 2",20,3451687,3631769,Inflammation II
ATXN3,220,P54252,Ataxin-3,14,92524896,92572965,Neurology II
AXL,222,P30530,Tyrosine-protein kinase receptor UFO,19,41725108,41767671,Cardiometabolic
B3GNT7,227,Q8NFL0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",2,232260254,232265875,Cardiometabolic II
B4GALT1,228,P15291,"Beta-1,4-galactosyltransferase 1",9,33104080,33167354,Inflammation
B4GAT1,229,O43505,"Beta-1,4-glucuronyltransferase 1",11,66112843,66115163,Neurology
BCAM,241,P50895,Basal cell adhesion molecule,19,45312328,45324673,Neurology
BCAN,242,Q96GW7,Brevican core protein,1,156611182,156629324,Neurology
BCAT1,243,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",12,24964295,25102393,Cardiometabolic II
BCHE,245,P06276,Cholinesterase,3,165490692,165555260,Inflammation II
BCL2L15,249,Q5TBC7,Bcl-2-like protein 15,1,114420790,114430169,Inflammation II
BGLAP,256,P02818,Osteocalcin,1,156211753,156213112,Cardiometabolic II
BLMH,263,Q13867,Bleomycin hydrolase,17,28575218,28619074,Cardiometabolic
BMP10,268,O95393,Bone morphogenetic protein 10,2,69092613,69098649,Inflammation II
BMP6,270,P22004,Bone morphogenetic protein 6,6,7727030,7881655,Cardiometabolic
BMPER,271,Q8N8U9,BMP-binding endothelial regulator protein,7,33944523,34195484,Inflammation II
BOC,274,Q9BWV1,Brother of CDO,3,112929850,113006303,Cardiometabolic
BPIFA2,277,Q96DR5,BPI fold-containing family A member 2,20,31749574,31769218,Cardiometabolic II
BPIFB1,278,Q8TDL5,BPI fold-containing family B member 1,20,31861286,31897684,Cardiometabolic
BPIFB2,279,Q8N4F0,BPI fold-containing family B member 2,20,31595406,31611515,Cardiometabolic II
BRSK2,287,Q8IWQ3,Serine/threonine-protein kinase BRSK2,11,1411129,1483919,Neurology II
BST1,290,Q10588,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,4,15704573,15739936,Neurology
BTC,292,P35070,Probetacellulin,4,75669969,75719896,Oncology
BTD,293,P43251,Biotinidase,3,15642848,15687329,Inflammation II
BTN1A1,295,Q13410,Butyrophilin subfamily 1 member A1,6,26501449,26510650,Oncology II
BTN2A1,296,Q7KYR7,Butyrophilin subfamily 2 member A1,6,26458150,26476849,Inflammation
BTN3A2,297,P78410,Butyrophilin subfamily 3 member A2,6,26365387,26378546,Inflammation
C1QA,301,P02745,Complement C1q subcomponent subunit A,1,22962999,22966101,Inflammation
C1QL2,303,Q7Z5L3,Complement C1q-like protein 2,2,119913819,119916465,Inflammation II
C1QTNF1,304,Q9BXJ1,Complement C1q tumor necrosis factor-related protein 1,17,77018896,77045870,Cardiometabolic
C1QTNF9,307,P0C862,Complement C1q and tumor necrosis factor-related protein 9A,13,24881304,24896673,Inflammation II
C1R,308,P00736,Complement C1r subcomponent,12,7187513,7245203,Inflammation II
C1RL,309,Q9NZP8,Complement C1r subcomponent-like protein,12,7242183,7261869,Inflammation II
C1S,310,P09871,Complement C1s subcomponent,12,7096351,7178336,Inflammation II
C2,311,P06681,Complement C2,6,31865562,31913449,Cardiometabolic
C4BPB,315,P20851,C4b-binding protein beta chain,1,207262187,207273338,Oncology
C5,316,P01031,Complement C5,9,123714616,123812554,Inflammation II
C7,317,P10643,Complement component C7,5,40909354,40983041,Inflammation II
C7orf50,318,Q9BRJ6,Uncharacterized protein C7orf50,7,1036622,1177896,Neurology II
C8B,319,P07358,Complement component C8 beta chain,1,57394883,57431813,Inflammation II
C9,320,P02748,Complement component C9,5,39284364,39424970,Inflammation II
CA12,324,O43570,Carbonic anhydrase 12,15,63613577,63674360,Oncology
CA13,325,Q8N1Q1,Carbonic anhydrase 13,8,86132816,86196302,Cardiometabolic
CA14,326,Q9ULX7,Carbonic anhydrase 14,1,150229554,150237478,Oncology
CA3,328,P07451,Carbonic anhydrase 3,8,86285665,86361269,Cardiometabolic
CA4,329,P22748,Carbonic anhydrase 4,17,58227297,58248260,Cardiometabolic
CA5A,330,P35218,"Carbonic anhydrase 5A, mitochondrial",16,87921625,87970135,Cardiometabolic
CA6,331,P23280,Carbonic anhydrase 6,1,9005926,9035151,Neurology
CA9,334,Q16790,Carbonic anhydrase 9,9,35673853,35681156,Oncology
CALCA,344,P01258,Calcitonin,11,14988214,14993900,Neurology
CALCB,345,P10092,Calcitonin gene-related peptide 2,11,14926543,15103888,Neurology II
CAMKK1,349,Q8N5S9,Calcium/calmodulin-dependent protein kinase kinase 1,17,3763609,3798185,Oncology
CANT1,352,Q8WVQ1,Soluble calcium-activated nucleotidase 1,17,76987799,77005949,Cardiometabolic
CAPG,353,P40121,Macrophage-capping protein,2,85621871,85645555,Oncology
CASP10,359,Q92851,Caspase-10,2,202047604,202094129,Neurology
CASP8,364,Q14790,Caspase-8,2,202098166,202152434,Oncology
CAT,367,P04040,Catalase,11,34460472,34493609,Inflammation II
CBLN4,370,Q9NTU7,Cerebellin-4,20,54572496,54580528,Oncology
CCL13,381,Q99616,C-C motif chemokine 13,17,32683471,32685629,Inflammation
CCL14,382,Q16627,C-C motif chemokine 14,17,34310327,34329100,Cardiometabolic
CCL15,383,Q16663,C-C motif chemokine 15,17,34323476,34329084,Cardiometabolic
CCL16,384,O15467,C-C motif chemokine 16,17,34303529,34308532,Cardiometabolic
CCL17,385,Q92583,C-C motif chemokine 17,16,57438679,57449974,Inflammation
CCL18,386,P55774,C-C motif chemokine 18,17,34391640,34399392,Cardiometabolic
CCL22,391,O00626,C-C motif chemokine 22,16,57392684,57400102,Inflammation
CCL23,392,P55773,C-C motif chemokine 23,17,34340096,34345005,Inflammation
CCL24,393,O00175,C-C motif chemokine 24,7,75440983,75452674,Inflammation
CCL25,394,O15444,C-C motif chemokine 25,19,8117651,8127534,Inflammation
CCL26,395,Q9Y258,C-C motif chemokine 26,7,75398851,75419214,Inflammation
CCL27,396,Q9Y4X3,C-C motif chemokine 27,9,34661877,34664045,Cardiometabolic
CCL3,398,P10147,C-C motif chemokine 3,17,34415602,34417515,Inflammation
CCL4,399,P13236,C-C motif chemokine 4,17,34430983,34433014,Inflammation
CCL5,400,P13501,C-C motif chemokine 5,17,34198495,34207797,Cardiometabolic
CCL8,402,P80075,C-C motif chemokine 8,17,32646055,32648421,Oncology
CCN1,403,O00622,CCN family member 1,1,86046444,86049645,Oncology
CCN2,404,P29279,CCN family member 2,6,132269316,132272513,Inflammation
CCN3,405,P48745,CCN family member 3,8,120428546,120436593,Cardiometabolic
CCN4,406,O95388,CCN family member 4,8,134203282,134242587,Oncology
CCN5,407,O76076,CCN family member 5,20,43343485,43357150,Neurology
CCS,410,O14618,Copper chaperone for superoxide dismutase,11,66360292,66373490,Neurology
CD101,412,Q93033,Immunoglobulin superfamily member 2,1,117544382,117579167,Oncology II
CD109,413,Q6YHK3,CD109 antigen,6,74405508,74538040,Neurology
CD14,414,P08571,Monocyte differentiation antigen CD14,5,140011313,140013286,Cardiometabolic
CD164,417,Q04900,Sialomucin core protein 24,6,109687717,109703762,Neurology
CD164L2,418,Q6UWJ8,CD164 sialomucin-like 2 protein,1,27705666,27709870,Neurology II
CD177,419,Q8N6Q3,CD177 antigen,19,43857811,43867480,Neurology
CD200,422,P41217,OX-2 membrane glycoprotein,3,112051194,112081659,Inflammation
CD200R1,423,Q8TD46,Cell surface glycoprotein CD200 receptor 1,3,112640056,112693969,Inflammation
CD207,424,Q9UJ71,C-type lectin domain family 4 member K,2,71057347,71062952,Oncology
CD209,425,Q9NNX6,CD209 antigen,19,7804879,7812464,Cardiometabolic
CD22,426,P20273,B-cell receptor CD22,19,35810164,35838258,Inflammation
CD226,427,Q15762,CD226 antigen,18,67498394,67629039,Inflammation II
CD244,428,Q9BZW8,Natural killer cell receptor 2B4,1,160799950,160832692,Inflammation
CD27,430,P26842,CD27 antigen,12,6554033,6560884,Oncology
CD274,431,Q9NZQ7,Programmed cell death 1 ligand 1,9,5450503,5470566,Neurology
CD276,432,Q5ZPR3,CD276 antigen,15,73976307,74006859,Inflammation
CD28,433,P10747,T-cell-specific surface glycoprotein CD28,2,204571198,204603635,Oncology
CD2AP,434,Q9Y5K6,CD2-associated protein,6,47445525,47594999,Cardiometabolic
CD300A,435,Q9UGN4,CMRF35-like molecule 8,17,72462555,72480933,Inflammation II
CD300C,436,Q08708,CMRF35-like molecule 6,17,72537247,72542282,Neurology
CD300E,437,Q496F6,CMRF35-like molecule 2,17,72606026,72619897,Oncology
CD300LF,438,Q8TDQ1,CMRF35-like molecule 1,17,72690452,72709117,Oncology
CD300LG,439,Q6UXG3,CMRF35-like molecule 9,17,41924516,41940997,Neurology
CD302,440,Q8IX05,CD302 antigen,2,160625364,160654753,Oncology
CD33,441,P20138,Myeloid cell surface antigen CD33,19,51728320,51747115,Oncology
CD36,443,P16671,Platelet glycoprotein 4,7,79998891,80308593,Inflammation II
CD38,444,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4,15779898,15854853,Oncology
CD4,448,P01730,T-cell surface glycoprotein CD4,12,6896024,6929974,Inflammation
CD40,449,P25942,Tumor necrosis factor receptor superfamily member 5,20,44746911,44758502,Inflammation
CD48,452,P09326,CD48 antigen,1,160648536,160681641,Inflammation
CD5,453,P06127,T-cell surface glycoprotein CD5,11,60869867,60895324,Oncology
CD55,454,P08174,Complement decay-accelerating factor,1,207494853,207534311,Cardiometabolic
CD59,456,P13987,CD59 glycoprotein,11,33719807,33757991,Cardiometabolic
CD5L,457,O43866,CD5 antigen-like,1,157800704,157868046,Inflammation II
CD6,458,P30203,T-cell differentiation antigen CD6,11,60739115,60787849,Inflammation
CD7,461,P09564,T-cell antigen CD7,17,80272744,80275478,Inflammation II
CD70,462,P32970,CD70 antigen,19,6583194,6604114,Inflammation
CD72,463,P21854,B-cell differentiation antigen CD72,9,35609530,35646807,Inflammation II
CD79B,465,P40259,B-cell antigen receptor complex-associated protein beta chain,17,62006100,62009714,Inflammation
CD80,466,P33681,T-lymphocyte activation antigen CD80,3,119243140,119278449,Cardiometabolic II
CD83,468,Q01151,CD83 antigen,6,14117872,14137149,Inflammation
CD86,470,P42081,T-lymphocyte activation antigen CD86,3,121774213,121839983,Oncology II
CD8A,471,P01732,T-cell surface glycoprotein CD8 alpha chain,2,87011729,87035519,Neurology
CDA,475,P32320,Cytidine deaminase,1,20915441,20945401,Cardiometabolic II
CDCP1,483,Q9H5V8,CUB domain-containing protein 1,3,45123770,45187914,Neurology
CDH15,485,P55291,Cadherin-15,16,89238175,89261900,Neurology
CDH17,486,Q12864,Cadherin-17,8,95139399,95229531,Cardiometabolic
CDH5,492,P33151,Cadherin-5,16,66400533,66438686,Cardiometabolic
CDH6,493,P55285,Cadherin-6,5,31193857,31329253,Cardiometabolic
CDHR1,494,Q96JP9,Cadherin-related family member 1,10,85954410,85979377,Neurology
CDHR2,495,Q9BYE9,Cadherin-related family member 2,5,175969512,176022975,Oncology
CDHR5,496,Q9HBB8,Cadherin-related family member 5,11,616565,626078,Cardiometabolic
CDKN1A,500,P38936,Cyclin-dependent kinase inhibitor 1,6,36644305,36655116,Oncology
CDNF,502,Q49AH0,Cerebral dopamine neurotrophic factor,10,14861249,14880574,Oncology
CDON,503,Q4KMG0,Cell adhesion molecule-related/down-regulated by oncogenes,11,125825691,125933230,Inflammation
CDSN,504,Q15517,Corneodesmosin,6,31082867,31088223,Inflammation
CEACAM1,505,P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,19,43011456,43065386,Oncology
CEACAM16,506,Q2WEN9,Carcinoembryonic antigen-related cell adhesion molecule 16,19,45202421,45213986,Oncology II
CEACAM19,508,Q7Z692,Carcinoembryonic antigen-related cell adhesion molecule 19,19,45165545,45187631,Oncology II
CEACAM21,510,Q3KPI0,Carcinoembryonic antigen-related cell adhesion molecule 21,19,42055886,42093197,Inflammation
CEACAM5,512,P06731,Carcinoembryonic antigen-related cell adhesion molecule 5,19,42212504,42233718,Oncology
CELA3A,518,P09093,Chymotrypsin-like elastase family member 3A,1,22328149,22339032,Cardiometabolic
CELSR2,519,Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2,1,109792641,109818372,Inflammation II
CEMIP2,520,Q9UHN6,Cell surface hyaluronidase,9,74298282,74431606,Inflammation II
CEP112,524,Q8N8E3,Centrosomal protein of 112 kDa,17,63631656,64188202,Cardiometabolic II
CES1,534,P23141,Liver carboxylesterase 1,16,55836763,55867249,Cardiometabolic
CES3,536,Q6UWW8,Carboxylesterase 3,16,66995140,67009051,Oncology
CETN3,538,O15182,Centrin-3,5,89688078,89705603,Oncology II
CFB,539,P00751,Complement factor B,6,31895475,31919861,Inflammation II
CFD,541,P00746,Complement factor D,19,859453,863453,Inflammation II
CFH,542,P08603,Complement factor H,1,196621008,196716634,Inflammation II
CFHR2,543,P36980,Complement factor H-related protein 2,1,196788898,196928356,Inflammation II
CFHR4,544,Q92496,Complement factor H-related protein 4,1,196819371,196888102,Inflammation II
CFHR5,545,Q9BXR6,Complement factor H-related protein 5,1,196946667,196978804,Inflammation II
CFI,546,P05156,Complement factor I,4,110661852,110723335,Inflammation II
CGREF1,551,Q99674,Cell growth regulator with EF hand domain protein 1,2,27321757,27341995,Cardiometabolic
CHAC2,552,Q8WUX2,Glutathione-specific gamma-glutamylcyclotransferase 2,2,53994929,54002333,Oncology
CHAD,553,O15335,Chondroadherin,17,48541857,48546327,Inflammation II
CHCHD6,555,Q9BRQ6,MICOS complex subunit MIC25,3,126423063,126679249,Oncology II
CHGA,557,P10645,Chromogranin-A,14,93389425,93401638,Cardiometabolic II
CHGB,558,P05060,Secretogranin-1,20,5892076,5906007,Neurology
CHI3L1,559,P36222,Chitinase-3-like protein 1,1,203148059,203155877,Cardiometabolic
CHIT1,560,Q13231,Chitotriosidase-1,1,203181955,203242769,Cardiometabolic
CHL1,561,O00533,Neural cell adhesion molecule L1-like protein,3,238279,451090,Cardiometabolic
CHMP6,564,Q96FZ7,Charged multivesicular body protein 6,17,78965398,78983317,Cardiometabolic II
CHRDL2,567,Q6WN34,Chordin-like protein 2,11,74407474,74442430,Cardiometabolic
CILP,570,O75339,Cartilage intermediate layer protein 1,15,65488337,65503826,Cardiometabolic II
CKAP4,574,Q07065,Cytoskeleton-associated protein 4,12,106631655,106698057,Inflammation
CLEC10A,579,Q8IUN9,C-type lectin domain family 10 member A,17,6977856,6983626,Neurology
CLEC11A,580,Q9Y240,C-type lectin domain family 11 member A,19,51226586,51228974,Neurology
CLEC12A,581,Q5QGZ9,C-type lectin domain family 12 member A,12,10103915,10148293,Inflammation II
CLEC1A,583,Q8NC01,C-type lectin domain family 1 member A,12,10222153,10264226,Cardiometabolic
CLEC1B,584,Q9P126,C-type lectin domain family 1 member B,12,10138241,10166023,Neurology
CLEC3B,586,P05452,Tetranectin,3,45043040,45077563,Inflammation II
CLEC4A,587,Q9UMR7,C-type lectin domain family 4 member A,12,8276228,8291203,Inflammation
CLEC4C,588,Q8WTT0,C-type lectin domain family 4 member C,12,7882011,7904201,Inflammation
CLEC4D,589,Q8WXI8,C-type lectin domain family 4 member D,12,8662071,8674962,Inflammation
CLEC4G,590,Q6UXB4,C-type lectin domain family 4 member G,19,7793843,7798792,Inflammation
CLEC4M,591,Q9H2X3,C-type lectin domain family 4 member M,19,7828035,7834491,Cardiometabolic II
CLEC5A,592,Q9NY25,C-type lectin domain family 5 member A,7,141627157,141646807,Cardiometabolic
CLEC6A,593,Q6EIG7,C-type lectin domain family 6 member A,12,8608522,8630926,Oncology
CLEC7A,594,Q9BXN2,C-type lectin domain family 7 member A,12,10269376,10282857,Inflammation
CLGN,595,O14967,Calmegin,4,141309609,141349122,Neurology II
CLMP,599,Q9H6B4,CXADR-like membrane protein,11,122943035,123065989,Oncology
CLPS,602,P04118,Colipase,6,35762759,35765088,Neurology
CLSTN2,605,Q9H4D0,Calsyntenin-2,3,139654027,140296239,Inflammation
CLSTN3,606,Q9BQT9,Calsyntenin-3,12,7282294,7311541,Neurology II
CLUL1,609,Q15846,Clusterin-like protein 1,18,596988,650334,Cardiometabolic
CNDP1,612,Q96KN2,Beta-Ala-His dipeptidase,18,72201675,72254448,Cardiometabolic
CNPY4,616,Q8N129,Protein canopy homolog 4,7,99717236,99723134,Oncology
CNTN1,619,Q12860,Contactin-1,12,41086244,41466220,Cardiometabolic
CNTN2,620,Q02246,Contactin-2,1,205012325,205047627,Oncology
CNTN3,621,Q9P232,Contactin-3,3,74311719,74570291,Neurology
CNTN4,622,Q8IWV2,Contactin-4,3,2140497,3099645,Neurology
CNTN5,623,O94779,Contactin-5,11,98891683,100229616,Neurology
CNTNAP2,624,Q9UHC6,Contactin-associated protein-like 2,7,145813453,148118090,Inflammation
COCH,626,O43405,Cochlin,14,31343720,31364271,Cardiometabolic II
COL15A1,627,P39059,Collagen alpha-1(XV) chain,9,101705461,101833069,Cardiometabolic II
COL18A1,628,P39060,Collagen alpha-1(XVIII) chain,21,46825052,46933634,Cardiometabolic
COL24A1,630,Q17RW2,Collagen alpha-1(XXIV) chain,1,86194916,86622626,Oncology II
COL28A1,631,Q2UY09,Collagen alpha-1(XXVIII) chain,7,7395834,7575484,Neurology II
COL2A1,632,P02458,Collagen alpha-1(II) chain,12,48366748,48398269,Cardiometabolic II
COL4A1,634,P02462,Collagen alpha-1(IV) chain,13,110801318,110959496,Cardiometabolic
COL5A1,636,P20908,Collagen alpha-1(V) chain,9,137533620,137736686,Inflammation II
COL9A1,638,P20849,Collagen alpha-1(IX) chain,6,70924764,71012786,Inflammation
COLEC12,640,Q5KU26,Collectin-12,18,319361,500722,Inflammation
COMP,643,P49747,Cartilage oligomeric matrix protein,19,18893583,18902123,Cardiometabolic
COMT,644,P21964,Catechol O-methyltransferase,22,19929130,19957498,Cardiometabolic
CPA1,652,P15085,Carboxypeptidase A1,7,130020180,130027955,Cardiometabolic
CPA2,653,P48052,Carboxypeptidase A2,7,129906667,129929638,Neurology
CPA4,654,Q9UI42,Carboxypeptidase A4,7,129932974,129964020,Inflammation II
CPB2,656,Q96IY4,Carboxypeptidase B2,13,46627321,46679211,Inflammation II
CPE,657,P16870,Carboxypeptidase E,4,166282346,166419472,Oncology
CPM,659,P14384,Carboxypeptidase M,12,69235977,69365350,Neurology
CPPED1,661,Q9BRF8,Serine/threonine-protein phosphatase CPPED1,16,12756919,12897874,Neurology
CPQ,662,Q9Y646,Carboxypeptidase Q,8,97657455,98161882,Cardiometabolic II
