gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
ACP1,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283,0.223555317650043,0.987480174363504,0.715087344962782,0.645648474578268,10454,318326,0.683315038917006,0.735290278260764,0.503025143585109,0.0015657560256126,0.0051632178777584,0.465423030910039,217.020216914885,6.3175057448338805,11,10454,318326,18,P24666,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283
ACP5,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823,0.840594729781917,0.760378361858328,0.387949336930995,0.957138158971332,10454,312483,0.606245819413023,0.39695391535613,0.208454274341215,0.54267915817572,0.767122528471022,0.68950564708932,410.966616263859,7.585669899875432,10,10454,312483,19,P13686,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823
ACP6,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618,0.557483992123176,0.913704527374505,0.776236432642385,0.221300230997673,10454,312418,0.292661128415711,0.542473116907351,0.733478141402281,0.735944682639754,0.84117399378579,0.629904505593305,2209.25218952466,524.833024404038,13,10454,312418,20,Q9NPH0,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618
ACRBP,Acrosin-binding protein,12,6747241,6756626,0.215411928463936,0.931154572312582,0.079295743663142,0.0824460449187733,10454,317550,0.645006600016058,0.800841694569528,0.630097012839931,0.251376366154539,0.433380775395864,0.55037799578891,74.9225403182492,6.337797592439924,6,10454,317550,21,Q8NEB7,Acrosin-binding protein,12,6747241,6756626
ACTA2,"Actin, aortic smooth muscle",10,90694831,90751147,0.0885133649067816,0.868757236485999,0.646057163218841,0.913674683982946,10454,313327,0.987340409603611,0.939596289734347,0.72436123997611,0.69917536961491,0.331322717423498,0.151211101366803,11.1377418740984,2.495392936550769,7,10454,313327,24,P62736,"Actin, aortic smooth muscle",10,90694831,90751147
ACVRL1,Serine/threonine-protein kinase receptor R3,12,52300692,52317145,0.145441211277925,0.889980657997427,0.111679409975172,0.0480664139460909,10454,312975,0.731421359505543,0.942504458750605,0.980065973107521,0.800521853639227,0.906335923816194,0.715497845508516,151.221559803134,9.891978468609611,18,10454,312975,27,P37023,Serine/threonine-protein kinase receptor R3,12,52300692,52317145
ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130,0.946386981605124,0.319148246935988,0.582848479441781,0.83720513545047,10454,318445,0.33130741659036,0.536711503853254,0.583356847418557,0.570758149812518,0.609515851518424,0.413482696398223,176.676229680012,5.038006309780601,11,10454,318445,29,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130
ADA,Adenosine deaminase,20,43248163,43280874,0.350809012966197,0.823285788111298,0.751378050849111,0.797965612938018,10454,312284,0.194590172922362,0.024074018568208,0.0162971154526563,0.702795110699582,0.403575855561728,0.196365893734792,812.470619902329,542.6145429716051,16,10454,312284,31,P00813,Adenosine deaminase,20,43248163,43280874
ADA2,Adenosine deaminase 2,22,17660194,17702879,0.812211730136303,0.823619062712126,0.944701770775585,0.280663802774511,10454,312844,0.56691009553987,0.563886510821566,0.365794551922041,0.585116988569449,0.65446806230038,0.458387297186008,59.7790757949917,3.8731484947475976,28,10454,312844,32,Q9NZK5,Adenosine deaminase 2,22,17660194,17702879
ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024,0.058047383714449,0.99228061977863,0.473061312735499,0.938418298832268,10454,318326,0.644384877767159,0.884823749070855,0.858711495504681,0.827846871099885,0.780721513925632,0.503389951686967,22.4116654011829,4.036935187057382,35,10454,318326,33,O43184,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252,0.0843708781868841,0.00303632205844384,0.00793132202782698,0.00399778405044171,10454,313327,0.0025645547707328,0.0084309195538562,0.49848728153989,0.0517802765285872,0.148558244385004,0.860892124267756,1440.53483717944,90.03408855400755,8,10454,313327,34,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204,0.435307062793915,0.707510918079297,0.497403726268724,0.218187296795835,10454,312918,0.666694466944025,0.8991006970358,0.868920186978123,0.869478533578739,0.818470711015002,0.541030371860901,1035.15547818757,33.005316171556665,8,10454,312918,35,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851,0.676441269409174,0.0139404858674194,0.700016696835982,0.90618683408382,10454,312284,0.009832841486038,0.0229394723226914,0.346798544373804,0.123119194967912,0.249468055581001,0.527261493916063,488.287262356936,26.086635727192142,31,10454,312284,36,O75077,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372,0.208325911166063,0.294889879004603,0.0902555071962907,0.0964747131854834,10454,312409,0.386220677041986,0.38113364123883,0.277685553461438,0.23908944791502,0.172730940651905,0.144810256405809,248.785081261699,10.701492020754625,16,10454,312409,37,P78325,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663,0.00474021642665728,0.788857727592989,0.707323386341934,0.0578914521684065,10454,317541,0.0886706041521245,0.0864140204471298,0.157412399169397,0.967880332633452,0.224989957140664,0.0842069871517317,18.9597017799432,2.225363612984995,15,10454,317541,38,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508,0.00651363252527198,0.0432307660222482,0.00767332450776187,0.287752565156644,10454,312214,0.0341586312125293,0.0002601406653091,0.0005259122576392,0.136333582178339,0.16135983870613,0.2318661793344,129.03734970349,48.42641105226494,21,10454,312214,40,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417,0.831818643425162,0.955728304531461,0.355238816763433,0.569867968535047,10454,313327,0.715833600381286,0.829573491898456,0.623368002320875,0.285474596160682,0.0375284473733118,0.019856532002662,20.6849682148247,3.690667140819629,32,10454,313327,42,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417
ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,1,161154098,161168846,0.939777460943329,0.166465751802114,0.0913930067891884,0.959573707594211,10454,318326,0.325144744375137,0.481573015888371,0.482468454483159,0.0129390007586451,0.0003178063930807,0.0016254475245594,21.5215926441858,4.871112474796703,10,10454,318326,43,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4,1,161154098,161168846
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888,0.584873086691044,0.864239925799333,0.824058656061833,0.879934651965482,10454,312549,0.79348228650923,0.0453475156346828,0.0133813958149647,0.245692979482956,0.48126796921785,0.734483431284327,279.271983558978,15.839828588200604,19,10454,312549,44,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888
ADAMTSL2,ADAMTS-like protein 2,9,136397286,136440641,0.992269754858878,0.090521030554653,0.104094912032784,0.353255400644246,10454,317421,0.0385684799212021,0.0504249248284938,0.192957716140435,0.0503103018446865,0.0372902011636073,0.0974392685494811,10.2611312741364,4.63209431563267,21,10454,317421,45,Q86TH1,ADAMTS-like protein 2,9,136397286,136440641
ADAMTSL4,ADAMTS-like protein 4,1,150521884,150533413,0.42158711408711,0.775710668378888,0.944834563313527,0.827195570418352,10454,318239,0.401992279251957,0.532864733214193,0.455623837036745,0.756886242863413,0.706720984109279,0.439188043691511,102.914718843557,16.087794412037024,8,10454,318239,46,Q6UY14,ADAMTS-like protein 4,1,150521884,150533413
ADAMTSL5,ADAMTS-like protein 5,19,1505017,1513603,0.713452052883705,0.529798709114485,0.582097711537418,0.333895121433167,10454,317414,0.229483488129518,0.432797578865602,0.630806684586659,0.240591503860565,0.377472626049178,0.44970673493123,98.1988343189767,5.455595225253559,20,10454,317414,47,Q6ZMM2,ADAMTS-like protein 5,19,1505017,1513603
ADD1,Alpha-adducin,4,2845584,2931803,0.34558972693167,0.331523928624699,0.507056270112332,0.272866976477151,10454,318083,0.217233026099502,0.256577589265219,0.273700287871679,0.527449927890645,0.804554890467606,0.850280185131343,28.6094932784006,2.9866901769129606,13,10454,318083,49,P35611,Alpha-adducin,4,2845584,2931803
ADGRB3,Adhesion G protein-coupled receptor B3,6,69345259,70099403,0.300688478937471,0.930311592674307,0.0866199098110536,0.0678896703850463,10454,312975,0.471621319565482,0.292753498171811,0.163819978807091,0.783741857549059,0.872272223011931,0.656350926546642,1408.89182795719,87.31818316016339,35,10454,312975,50,O60242,Adhesion G protein-coupled receptor B3,6,69345259,70099403
ADGRD1,Adhesion G-protein coupled receptor D1,12,131438452,131626014,0.307219861715897,0.875252962301196,0.00950470415927934,0.107325291555672,10454,318083,0.541622685699968,0.394748321181546,0.222772765274311,0.810537442088743,0.394682654445757,0.179486349764773,99.978693587195,29.919443096494447,37,10454,318083,51,Q6QNK2,Adhesion G-protein coupled receptor D1,12,131438452,131626014
ADGRE1,Adhesion G protein-coupled receptor E1,19,6887577,6940470,0.919350143673411,0.373600012858303,0.481290630671034,0.0737243695083067,10454,317541,0.100020052082617,0.193191929131355,0.445130964547788,0.0069744340687312,0.0141621534831531,0.266469307229586,39.7632033353691,12.362647458268816,34,10454,317541,52,Q14246,Adhesion G protein-coupled receptor E1,19,6887577,6940470
ADGRE5,Adhesion G protein-coupled receptor E5,19,14491313,14519537,0.599080614052606,0.225026037290389,0.848279446689211,0.371248555557923,10454,312386,0.250317371056564,0.385095980340529,0.443570312118687,0.741982740787881,0.32367084134671,0.142787224600954,30.8109779733207,3.480202600730259,16,10454,312386,54,P48960,Adhesion G protein-coupled receptor E5,19,14491313,14519537
ADGRG1,Adhesion G-protein coupled receptor G1,16,57644564,57698944,0.461984571081212,0.606629522700768,0.515440409755662,0.467884891118949,10454,312825,0.985337252893306,0.645349771043423,0.349424494509852,0.199248217668067,0.0997920624556731,0.0852711860585807,11.4384347728055,10.239647512929073,16,10454,312825,56,Q9Y653,Adhesion G-protein coupled receptor G1,16,57644564,57698944
ADH1B,All-trans-retinol dehydrogenase,4,100226121,100242558,0.980208477550386,0.0156492832492334,0.0338137498710928,0.0532227069055443,10454,318083,0.105098609224153,0.0493835647508433,0.0656000630851738,0.344894229166938,0.446600104527024,0.396134212627557,12.5702650301556,2.729027161256208,5,10454,318083,59,P00325,All-trans-retinol dehydrogenase,4,100226121,100242558
ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,4,100044808,100078949,0.453647598664271,0.0565618981545923,0.0259019806225878,0.0261956532666227,10454,313327,0.0480000875830192,100,,0.190566894350408,,,86.0045975329112,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f01926507c0> [RTYPES.NILSXP],2,10454,313327,60,P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4,4,100044808,100078949
ADIPOQ,Adiponectin,3,186560463,186576252,0.280958224043371,0.0196518822747525,0.0146128679941847,0.0634910247117342,10454,317354,0.271574784143776,0.442376829675395,0.51571775475876,0.615822973093827,0.856267482884966,0.808781663023689,54.3542517861803,12.89533212774066,35,10454,317354,61,Q15848,Adiponectin,3,186560463,186576252
ADM,Pro-adrenomedullin,11,10326227,10328944,0.328102029483728,0.110189059513741,0.437540949731763,0.85712749584714,10454,312360,0.0478904383069832,0.136210106336544,0.786349069933995,0.0902695228146546,0.234882048254426,0.867608758699733,80.3681850833555,3.880848215049777,10,10454,312360,62,P35318,Pro-adrenomedullin,11,10326227,10328944
AFAP1,Actin filament-associated protein 1,4,7760441,7941653,0.929499699042184,0.0151120351256964,0.0551598910211496,0.143879116322802,10454,318083,0.0074428487545947,0.0218882371941483,0.487936761558516,0.145180668058852,0.111775635442944,0.132723837467924,861.159819189838,124.11632179276889,36,10454,318083,64,Q8N556,Actin filament-associated protein 1,4,7760441,7941653
AFM,Afamin,4,74347400,74369691,0.160456365744694,0.969254606787604,0.92507842988134,0.11618798666441,10454,317354,0.457395075670315,0.754264445071634,0.913538763739657,0.406861042722135,0.588775208496714,0.542205304734932,21.9704008105234,4.3204963905691365,7,10454,317354,65,P43652,Afamin,4,74347400,74369691
AFP,Alpha-fetoprotein,4,74296855,74321891,0.23636377917836,0.68834787803024,0.880192417405266,0.358574630769315,10454,313027,0.403436258423821,0.0515414094201122,0.0221691271023912,0.182858162858165,0.406484600145121,0.871459455249617,145.256793090058,8.750066565475127,5,10454,313027,66,P02771,Alpha-fetoprotein,4,74296855,74321891
AGER,Advanced glycosylation end product-specific receptor,6,32148745,32152101,0.566739925199252,0.979709144220994,0.234379429316086,0.994485843978533,10454,312732,0.988727336713453,0.914075746511516,0.671824394021447,0.056817757873242,0.125813722070716,0.471700389826498,38.7089111232162,1.643680231423668,21,10454,312732,68,Q15109,Advanced glycosylation end product-specific receptor,6,32148745,32152101
AGR2,Anterior gradient protein 2 homolog,7,16831435,16873057,0.884533390334151,0.680248416965611,0.717743498383124,0.896688751979008,10454,313793,0.670528716899809,0.110099313155623,0.0396787943748852,0.0225390530240306,0.05964361627313,0.509517182324553,23.3411059628265,3.34077901408507,12,10454,313793,69,O95994,Anterior gradient protein 2 homolog,7,16831435,16873057
AGRN,Agrin,1,955503,991496,0.0681567176264465,0.196056855844492,0.754974943370313,0.724324773640697,10454,312493,0.457681360648478,0.0817902407611323,0.0347900718940391,0.694073574106506,0.0247904117731451,0.0071301964092933,191.78472209832,13.700647373950748,13,10454,312493,71,O00468,Agrin,1,955503,991496
AGT,Angiotensinogen,1,230838269,230850043,0.12925348949214,0.742208679966866,0.78590935435559,0.690793705419359,10454,317378,0.873274200536719,0.956629302488213,0.801452127015244,0.988322123196733,0.222924243863304,0.0831809140327344,298.462921980334,31.761594575389,18,10454,317378,73,P01019,Angiotensinogen,1,230838269,230850043
AGXT,Serine--pyruvate aminotransferase,2,241807896,241819919,0.896121962027344,0.218510222799153,0.14606321054188,0.022049773934921,10454,312630,0.0213269469219324,0.0681281212087367,0.786868636684659,0.308661286559117,0.594750471534303,0.957552584305569,154.065770923833,5.498322262502317,10,10454,312630,74,P21549,Serine--pyruvate aminotransferase,2,241807896,241819919
AHCY,Adenosylhomocysteinase,20,32868074,32899608,0.975743574111666,0.993242699764426,0.592937870943652,0.809046721014169,10454,312630,0.706188205938351,0.258937713718664,0.109591263002897,0.212457888996565,0.0703207846811886,0.0526569164095837,18.4566811661602,10.00306383461779,3,10454,312630,75,P23526,Adenosylhomocysteinase,20,32868074,32899608
AHNAK2,Protein AHNAK2,14,105403581,105444694,0.0490475276701323,0.079350956647407,0.0113857088088836,0.105338068336014,10454,318239,0.102454034826577,0.0840884676193448,0.13064120433171,0.184361279882793,0.153456735664672,0.158700955337645,80.4448127779348,3.31376794455816,7,10454,318239,77,Q8IVF2,Protein AHNAK2,14,105403581,105444694
AHSG,Alpha-2-HS-glycoprotein,3,186330712,186339107,0.611746316196356,0.9992294005083,0.828754263710495,0.94054785510219,10454,317378,0.7559593756324,0.835150076297301,0.607597338279031,0.789074625453735,0.964755058051066,0.988737183843139,458.434660277989,23.34327747719085,25,10454,317378,79,P02765,Alpha-2-HS-glycoprotein,3,186330712,186339107
AIF1,Allograft inflammatory factor 1,6,31582961,31584798,0.0825112513486869,0.0963218888427459,0.230187011320987,0.0848661166936375,10454,313474,0.873668512106764,0.37240585881785,0.162568665925121,0.487229060700774,0.658078670418347,0.551732789076825,34.7094103553018,2.7971052040886906,13,10454,313474,82,P55008,Allograft inflammatory factor 1,6,31582961,31584798
AIF1L,Allograft inflammatory factor 1-like,9,133971863,133998539,0.0851032823035484,0.248995629005078,0.190623699772332,0.706577345728432,10454,318239,0.318638237197169,0.0471805265027258,0.0237496432203255,0.677473286502112,0.896116583263686,0.829476278425411,67.7209478703619,2.8840881834228336,14,10454,318239,83,Q9BQI0,Allograft inflammatory factor 1-like,9,133971863,133998539
AKR7L,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688,0.76595845937054,0.939388362957538,0.551863974380486,0.392389686639313,10454,318326,0.365767048433321,0.38958775645991,0.301550359711181,0.158539694851724,0.214343505038768,0.295972711069765,56.3810167822864,1.5616783058735868,12,10454,318326,91,Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688
AKT3,RAC-gamma serine/threonine-protein kinase,1,243651535,244014381,0.507103448681147,0.433880458844693,0.935537744167731,0.756089230172602,10454,313640,0.659775915913115,0.368828183811245,0.179594553481792,0.099249348659889,0.170198913344921,0.364009346248881,18.0320978469768,2.756325295757323,4,10454,313640,94,Q9Y243,RAC-gamma serine/threonine-protein kinase,1,243651535,244014381
ALCAM,CD166 antigen,3,105085753,105295744,0.17512040916101,0.150673257978035,0.49043694562957,0.342195655777901,10454,312214,0.100092669423182,0.149082464321743,0.293713361625687,0.552532706150677,0.635699942432818,0.456989732746248,36.8446533491409,4.1868740225372685,20,10454,312214,95,Q13740,CD166 antigen,3,105085753,105295744
ALDH1A1,Retinal dehydrogenase 1,9,75515578,75695358,0.939502658686465,0.928302256030665,0.701141768612754,0.845732733505493,10454,312640,0.64518528484848,0.217002195910467,0.0917415932097518,0.169827301162855,0.281172307484748,0.419002932441738,25.6165878078577,3.111278462559277,7,10454,312640,96,P00352,Retinal dehydrogenase 1,9,75515578,75695358
ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256,0.846804245032205,0.256218412249377,0.0724205545554965,0.324813471302257,10454,312773,0.499912316097847,0.337474278331121,0.190034642685124,0.213049337892479,0.045536540542745,0.0314561881559493,804.022359234035,5.40621565629523,4,10454,312773,98,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256
ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435,0.906129874229551,0.102585740489178,0.712285821177967,0.189363915304638,10454,317463,0.100486255196229,0.0132046309344361,0.0146638659294076,0.247553509683273,0.379448089121308,0.438189730603239,51.7539953187714,6.853595621821634,8,10454,317463,99,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435
ALPP,"Alkaline phosphatase, placental type",2,233243244,233247599,0.535239429943046,0.932175070042473,0.273274986818298,0.517476049770745,10454,312825,0.196397981083117,0.3907677053635,0.64645841760411,0.430879837555745,0.600459261895164,0.527259435490963,302.004642960115,29.078228802643203,23,10454,312825,102,P05187,"Alkaline phosphatase, placental type",2,233243244,233247599
AMBN,Ameloblastin,4,71457973,71473005,0.177291454092365,0.982852849251669,0.87488405708362,0.663737112906115,10454,313327,0.651750283123772,0.433861138810694,0.22593029621226,0.976804138272612,0.0807599309203453,0.0248875265503027,16.9423033325276,4.0276965872162185,6,10454,313327,103,Q9NP70,Ameloblastin,4,71457973,71473005
AMBP,Protein AMBP,9,116822407,116840752,0.571218704500678,0.140944767958679,0.0634574588953346,0.623860145222098,10454,312413,0.585717130986275,0.846898002822799,0.851010393383107,0.559767023911434,0.664949400893126,0.490248567920407,18.5969162260715,7.839926943810805,22,10454,312413,104,P02760,Protein AMBP,9,116822407,116840752
AMIGO2,Amphoterin-induced protein 2,12,47469490,47473734,0.284671778225425,0.989846841664949,0.972385622168689,0.517161434685058,10454,312825,0.905618957176427,0.919149914178188,0.694227040318092,0.0432069568705355,0.020021592924884,0.0532963616244784,48.5305724057841,2.9933904825864546,9,10454,312825,108,Q86SJ2,Amphoterin-induced protein 2,12,47469490,47473734
AMN,Protein amnionless,14,103388993,103399933,0.969339057831547,0.0994653986901319,0.641748784974637,0.242781581485514,10454,313327,0.530109552808514,0.766174188030235,0.709754630944177,0.649116608492648,0.724011810290863,0.507663962470093,283.646336387698,3.1546013273539506,6,10454,313327,109,Q9BXJ7,Protein amnionless,14,103388993,103399933
AMOTL2,Angiomotin-like protein 2,3,134074716,134094321,0.352627386722136,0.163638292835626,0.381235581543252,0.413551528421095,10454,317666,0.201978827697721,0.409381492139259,0.690746706138245,0.703229053240896,0.909980860684589,0.83473221499773,10.1663694784668,2.631702908236236,2,10454,317666,111,Q9Y2J4,Angiomotin-like protein 2,3,134074716,134094321
AMPD3,AMP deaminase 3,11,10329860,10529126,0.883037361000862,0.439117153942105,0.753928764933798,0.807450626425419,10454,317485,0.290647782842159,0.435304875618038,0.459617417575998,0.182467975211872,0.0893469089232998,0.0805857932306799,25.3263493775096,12.265767445828155,23,10454,317485,112,Q01432,AMP deaminase 3,11,10329860,10529126
AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312,0.750399059844669,0.764535322834321,0.102265714526108,0.0849141715058494,10454,319363,0.944690431064802,0.996395945911982,0.960860533611445,0.171710126301582,0.278925781079366,0.407640547858221,824.545060616669,9.903344526233145,4,10454,319363,113,P0DUB6_P0DTE7_P0DTE8,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312
AMY2A,Pancreatic alpha-amylase,1,104159999,104168402,0.845429562988754,0.20413621036036,0.595600894761265,0.470624540393827,10454,314059,0.954617783168984,0.984774297419612,0.868418366080152,0.487549557229145,0.577782154052293,0.432841514585683,1379.21533890063,108.33819017233496,3,10454,314059,114,P04746,Pancreatic alpha-amylase,1,104159999,104168402
AMY2B,Alpha-amylase 2B,1,104096437,104122156,0.198850480407578,0.764010624093717,0.402561832354631,0.558273947824293,10454,315075,0.635070625486905,0.386819890145864,0.195686812898248,0.641976033769916,0.359263371649657,0.175982405111059,920.17046243724,107.4032970351838,5,10454,315075,115,P19961,Alpha-amylase 2B,1,104096437,104122156
ANG,Angiogenin,14,21152336,21167130,0.96740272802939,0.155755273874127,0.376305769242109,0.143976815957156,10454,312730,0.056280291954025,0.161735524604991,0.996654328425314,0.816832143488038,0.967431974298261,0.910724478953139,360.532023757083,7.396617365859978,31,10454,312730,116,P03950,Angiogenin,14,21152336,21167130
ANGPT2,Angiopoietin-2,8,6357172,6420930,0.668102609215646,0.899447788674143,0.7062203125862,0.732383208616685,10454,312360,0.930001631960342,0.501462437298733,0.241353414274301,0.954578743684592,0.97751694739447,0.837172399631081,27.2109437495404,3.672640137007504,27,10454,312360,118,O15123,Angiopoietin-2,8,6357172,6420930
ANGPTL1,Angiopoietin-related protein 1,1,178818840,178840187,0.736309496749321,0.612705155452978,0.874586135799532,0.951838405643825,10454,313138,0.974356483646574,0.952190544642024,0.755530266155469,0.320347960544515,0.518492898761443,0.567944665876837,178.755316638566,27.32787762251354,8,10454,313138,119,O95841,Angiopoietin-related protein 1,1,178818840,178840187
