gene_names,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,uniprot_id,protein_name,chr,start,end
ACTA2,0.0885133649067816,0.322486609615599,0.860029047347399,0.871527250461072,10454,313327,24,ACTA2,0.987340409603611,0.939596289734347,0.72436123997611,0.69917536961491,0.331322717423498,0.151211101366803,11.1377418740984,2.495392936550769,7,10454,313327,24,P62736,"Actin, aortic smooth muscle",10,90694831,90751147
ACVRL1,0.145441211277925,0.386427958788002,0.137136570133253,0.133383182254451,10454,312975,27,ACVRL1,0.731421359505543,0.942504458750605,0.980065973107521,0.800521853639227,0.906335923816194,0.715497845508516,151.221559803134,9.891978468609611,18,10454,312975,27,P37023,Serine/threonine-protein kinase receptor R3,12,52300692,52317145
ACY3,0.946386981605124,0.585227099702965,0.639826230725202,0.869941023270325,10454,318445,29,ACY3,0.33130741659036,0.536711503853254,0.583356847418557,0.570758149812518,0.609515851518424,0.413482696398223,176.676229680012,5.038006309780601,11,10454,318445,29,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130
ADA,0.350809012966197,0.471620386379713,0.794363831574773,0.812240160643248,10454,312284,31,ADA,0.194590172922362,0.024074018568208,0.0162971154526563,0.702795110699582,0.403575855561728,0.196365893734792,812.470619902329,542.6145429716051,16,10454,312284,31,P00813,Adenosine deaminase,20,43248163,43280874
ADA2,0.812211730136303,0.7415634680582,0.862183514971557,0.804778633938893,10454,312844,32,ADA2,0.56691009553987,0.563886510821566,0.365794551922041,0.585116988569449,0.65446806230038,0.458387297186008,59.7790757949917,3.8731484947475976,28,10454,312844,32,Q9NZK5,Adenosine deaminase 2,22,17660194,17702879
ADAM12,0.058047383714449,0.157862570778508,0.979380199677787,0.370068711897271,10454,318326,33,ADAM12,0.644384877767159,0.884823749070855,0.858711495504681,0.827846871099885,0.780721513925632,0.503389951686967,22.4116654011829,4.036935187057382,35,10454,318326,33,O43184,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024
ADAM15,0.0843708781868841,0.402162520152789,0.00425194463628159,0.127209392415559,10454,313327,34,ADAM15,0.0025645547707328,0.0084309195538562,0.49848728153989,0.0517802765285872,0.148558244385004,0.860892124267756,1440.53483717944,90.03408855400755,8,10454,313327,34,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252
ADAM22,0.435307062793915,0.457320146921456,0.45075809286722,0.705215578303344,10454,312918,35,ADAM22,0.666694466944025,0.8991006970358,0.868920186978123,0.869478533578739,0.818470711015002,0.541030371860901,1035.15547818757,33.005316171556665,8,10454,312918,35,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204
ADAM23,0.676441269409174,0.604351183357289,0.0503745767158653,0.617148268836404,10454,312284,36,ADAM23,0.009832841486038,0.0229394723226914,0.346798544373804,0.123119194967912,0.249468055581001,0.527261493916063,488.287262356936,26.086635727192142,31,10454,312284,36,O75077,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851
ADAM8,0.208325911166063,0.389202297314055,0.122886723281749,0.667014428463414,10454,312409,37,ADAM8,0.386220677041986,0.38113364123883,0.277685553461438,0.23908944791502,0.172730940651905,0.144810256405809,248.785081261699,10.701492020754625,16,10454,312409,37,P78325,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372
ADAM9,0.00474021642665728,0.194507141538915,0.230333554724559,0.598941908226846,10454,317541,38,ADAM9,0.0886706041521245,0.0864140204471298,0.157412399169397,0.967880332633452,0.224989957140664,0.0842069871517317,18.9597017799432,2.225363612984995,15,10454,317541,38,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663
ADAMTS13,0.00651363252527198,0.0407496241266357,0.0192371641167332,0.000737124490109709,10454,312214,40,ADAMTS13,0.0341586312125293,0.0002601406653091,0.0005259122576392,0.136333582178339,0.16135983870613,0.2318661793344,129.03734970349,48.42641105226494,21,10454,312214,40,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508
ADAMTS16,0.831818643425162,0.930208227935419,0.86907392174553,0.953095807457413,10454,313327,42,ADAMTS16,0.715833600381286,0.829573491898456,0.623368002320875,0.285474596160682,0.0375284473733118,0.019856532002662,20.6849682148247,3.690667140819629,32,10454,313327,42,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417
ADAMTS4,0.939777460943329,0.427373868458587,0.733861696781449,0.795399658193532,10454,318326,43,ADAMTS4,0.325144744375137,0.481573015888371,0.482468454483159,0.0129390007586451,0.0003178063930807,0.0016254475245594,21.5215926441858,4.871112474796703,10,10454,318326,43,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4,1,161154098,161168846
ADAMTS8,0.584873086691044,0.614733215362716,0.859433742701792,0.89325730700954,10454,312549,44,ADAMTS8,0.79348228650923,0.0453475156346828,0.0133813958149647,0.245692979482956,0.48126796921785,0.734483431284327,279.271983558978,15.839828588200604,19,10454,312549,44,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,11,130274820,130298888
ADAMTSL2,0.992269754858878,0.64880645225329,0.13112506233233,0.901395827745428,10454,317421,45,ADAMTSL2,0.0385684799212021,0.0504249248284938,0.192957716140435,0.0503103018446865,0.0372902011636073,0.0974392685494811,10.2611312741364,4.63209431563267,21,10454,317421,45,Q86TH1,ADAMTS-like protein 2,9,136397286,136440641
ADAMTSL4,0.42158711408711,0.694899961242631,0.892535213596359,0.820835205685266,10454,318239,46,ADAMTSL4,0.401992279251957,0.532864733214193,0.455623837036745,0.756886242863413,0.706720984109279,0.439188043691511,102.914718843557,16.087794412037024,8,10454,318239,46,Q6UY14,ADAMTS-like protein 4,1,150521884,150533413
ADAMTSL5,0.713452052883705,0.588474742347197,0.476982194059444,0.967397957663865,10454,317414,47,ADAMTSL5,0.229483488129518,0.432797578865602,0.630806684586659,0.240591503860565,0.377472626049178,0.44970673493123,98.1988343189767,5.455595225253559,20,10454,317414,47,Q6ZMM2,ADAMTS-like protein 5,19,1505017,1513603
ADD1,0.34558972693167,0.620040976568924,0.358541440385889,0.97884713706467,10454,318083,49,ADD1,0.217233026099502,0.256577589265219,0.273700287871679,0.527449927890645,0.804554890467606,0.850280185131343,28.6094932784006,2.9866901769129606,13,10454,318083,49,P35611,Alpha-adducin,4,2845584,2931803
ADGRB3,0.300688478937471,0.491778636098285,0.216588585860558,0.149292388165343,10454,312975,50,ADGRB3,0.471621319565482,0.292753498171811,0.163819978807091,0.783741857549059,0.872272223011931,0.656350926546642,1408.89182795719,87.31818316016339,35,10454,312975,50,O60242,Adhesion G protein-coupled receptor B3,6,69345259,70099403
ADGRD1,0.307219861715897,0.465468682804442,0.0280853527891261,0.0208578058930305,10454,318083,51,ADGRD1,0.541622685699968,0.394748321181546,0.222772765274311,0.810537442088743,0.394682654445757,0.179486349764773,99.978693587195,29.919443096494447,37,10454,318083,51,Q6QNK2,Adhesion G-protein coupled receptor D1,12,131438452,131626014
ADGRE1,0.919350143673411,0.822900145078163,0.180272634725634,0.910238773896405,10454,317541,52,ADGRE1,0.100020052082617,0.193191929131355,0.445130964547788,0.0069744340687312,0.0141621534831531,0.266469307229586,39.7632033353691,12.362647458268816,34,10454,317541,52,Q14246,Adhesion G protein-coupled receptor E1,19,6887577,6940470
ADGRE5,0.599080614052606,0.584074656157322,0.535703390158162,0.912774350717815,10454,312386,54,ADGRE5,0.250317371056564,0.385095980340529,0.443570312118687,0.741982740787881,0.32367084134671,0.142787224600954,30.8109779733207,3.480202600730259,16,10454,312386,54,P48960,Adhesion G protein-coupled receptor E5,19,14491313,14519537
ADGRG1,0.461984571081212,0.535620639628357,0.531243802918217,0.536524683097243,10454,312825,56,ADGRG1,0.985337252893306,0.645349771043423,0.349424494509852,0.199248217668067,0.0997920624556731,0.0852711860585807,11.4384347728055,10.239647512929073,16,10454,312825,56,Q9Y653,Adhesion G-protein coupled receptor G1,16,57644564,57698944
ADH1B,0.980208477550386,0.713062210235819,0.0267405341989312,0.119707713515435,10454,318083,59,ADH1B,0.105098609224153,0.0493835647508433,0.0656000630851738,0.344894229166938,0.446600104527024,0.396134212627557,12.5702650301556,2.729027161256208,5,10454,318083,59,P00325,All-trans-retinol dehydrogenase,4,100226121,100242558
ADH4,0.453647598664271,0.684703254907058,0.0317739509643319,0.996403979925511,10454,313327,60,ADH4,0.0480000875830192,100,,0.190566894350408,,,86.0045975329112,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f01926507c0> [RTYPES.NILSXP],2,10454,313327,60,P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4,4,100044808,100078949
ADIPOQ,0.280958224043371,0.171498977846772,0.0222278083574856,0.0292470779997517,10454,317354,61,ADIPOQ,0.271574784143776,0.442376829675395,0.51571775475876,0.615822973093827,0.856267482884966,0.808781663023689,54.3542517861803,12.89533212774066,35,10454,317354,61,Q15848,Adiponectin,3,186560463,186576252
ADM,0.328102029483728,0.355695037357228,0.407717972342679,0.65531518533917,10454,312360,62,ADM,0.0478904383069832,0.136210106336544,0.786349069933995,0.0902695228146546,0.234882048254426,0.867608758699733,80.3681850833555,3.880848215049777,10,10454,312360,62,P35318,Pro-adrenomedullin,11,10326227,10328944
AFAP1,0.929499699042184,0.638470763013936,0.0330154946201087,0.0741933009181214,10454,318083,64,AFAP1,0.0074428487545947,0.0218882371941483,0.487936761558516,0.145180668058852,0.111775635442944,0.132723837467924,861.159819189838,124.11632179276889,36,10454,318083,64,Q8N556,Actin filament-associated protein 1,4,7760441,7941653
AFM,0.160456365744694,0.344134859312362,0.921225696561255,0.226849832699537,10454,317354,65,AFM,0.457395075670315,0.754264445071634,0.913538763739657,0.406861042722135,0.588775208496714,0.542205304734932,21.9704008105234,4.3204963905691365,7,10454,317354,65,P43652,Afamin,4,74347400,74369691
AFP,0.23636377917836,0.462376404377094,0.734789890508042,0.977034242616796,10454,313027,66,AFP,0.403436258423821,0.0515414094201122,0.0221691271023912,0.182858162858165,0.406484600145121,0.871459455249617,145.256793090058,8.750066565475127,5,10454,313027,66,P02771,Alpha-fetoprotein,4,74296855,74321891
AGER,0.566739925199252,0.637792476692582,0.986796588040531,0.976157406464305,10454,312732,68,AGER,0.988727336713453,0.914075746511516,0.671824394021447,0.056817757873242,0.125813722070716,0.471700389826498,38.7089111232162,1.643680231423668,21,10454,312732,68,Q15109,Advanced glycosylation end product-specific receptor,6,32148745,32152101
AGR2,0.884533390334151,0.593834220141845,0.810296979992712,0.631126594974416,10454,313793,69,AGR2,0.670528716899809,0.110099313155623,0.0396787943748852,0.0225390530240306,0.05964361627313,0.509517182324553,23.3411059628265,3.34077901408507,12,10454,313793,69,O95994,Anterior gradient protein 2 homolog,7,16831435,16873057
AGRN,0.0681567176264465,0.251983154399012,0.549395498008444,0.862094132356847,10454,312493,71,AGRN,0.457681360648478,0.0817902407611323,0.0347900718940391,0.694073574106506,0.0247904117731451,0.0071301964092933,191.78472209832,13.700647373950748,13,10454,312493,71,O00468,Agrin,1,955503,991496
AGT,0.12925348949214,0.320055941274518,0.744110752127272,0.758893400270483,10454,317378,73,AGT,0.873274200536719,0.956629302488213,0.801452127015244,0.988322123196733,0.222924243863304,0.0831809140327344,298.462921980334,31.761594575389,18,10454,317378,73,P01019,Angiotensinogen,1,230838269,230850043
AGXT,0.896121962027344,0.568024366597573,0.053569561148463,0.852258255244204,10454,312630,74,AGXT,0.0213269469219324,0.0681281212087367,0.786868636684659,0.308661286559117,0.594750471534303,0.957552584305569,154.065770923833,5.498322262502317,10,10454,312630,74,P21549,Serine--pyruvate aminotransferase,2,241807896,241819919
AHCY,0.975743574111666,0.509852807776712,0.980480932744785,0.981311783524189,10454,312630,75,AHCY,0.706188205938351,0.258937713718664,0.109591263002897,0.212457888996565,0.0703207846811886,0.0526569164095837,18.4566811661602,10.00306383461779,3,10454,312630,75,P23526,Adenosylhomocysteinase,20,32868074,32899608
AHNAK2,0.0490475276701323,0.0237003683240885,0.0273856058687959,0.576975121674038,10454,318239,77,AHNAK2,0.102454034826577,0.0840884676193448,0.13064120433171,0.184361279882793,0.153456735664672,0.158700955337645,80.4448127779348,3.31376794455816,7,10454,318239,77,Q8IVF2,Protein AHNAK2,14,105403581,105444694
AHSG,0.611746316196356,0.576568640710798,0.997726583953977,0.878478581841007,10454,317378,79,AHSG,0.7559593756324,0.835150076297301,0.607597338279031,0.789074625453735,0.964755058051066,0.988737183843139,458.434660277989,23.34327747719085,25,10454,317378,79,P02765,Alpha-2-HS-glycoprotein,3,186330712,186339107
AIF1,0.0825112513486869,0.209469892704113,0.114232604249541,0.137740128309043,10454,313474,82,AIF1,0.873668512106764,0.37240585881785,0.162568665925121,0.487229060700774,0.658078670418347,0.551732789076825,34.7094103553018,2.7971052040886906,13,10454,313474,82,P55008,Allograft inflammatory factor 1,6,31582961,31584798
AIF1L,0.0851032823035484,0.223691701586341,0.334853295485013,0.9999998095347,10454,318239,83,AIF1L,0.318638237197169,0.0471805265027258,0.0237496432203255,0.677473286502112,0.896116583263686,0.829476278425411,67.7209478703619,2.8840881834228336,14,10454,318239,83,Q9BQI0,Allograft inflammatory factor 1-like,9,133971863,133998539
AKR7L,0.76595845937054,0.670141132048063,0.828002497239251,0.942982113899944,10454,318326,91,AKR7L,0.365767048433321,0.38958775645991,0.301550359711181,0.158539694851724,0.214343505038768,0.295972711069765,56.3810167822864,1.5616783058735868,12,10454,318326,91,Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,1,19592476,19600688
AKT3,0.507103448681147,0.451623085788138,0.845751047145808,0.554391413131909,10454,313640,94,AKT3,0.659775915913115,0.368828183811245,0.179594553481792,0.099249348659889,0.170198913344921,0.364009346248881,18.0320978469768,2.756325295757323,4,10454,313640,94,Q9Y243,RAC-gamma serine/threonine-protein kinase,1,243651535,244014381
ALCAM,0.17512040916101,0.513111008127788,0.277407669110758,0.322353897231868,10454,312214,95,ALCAM,0.100092669423182,0.149082464321743,0.293713361625687,0.552532706150677,0.635699942432818,0.456989732746248,36.8446533491409,4.1868740225372685,20,10454,312214,95,Q13740,CD166 antigen,3,105085753,105295744
ALDH1A1,0.939502658686465,0.697081031228749,0.871045454161014,0.678721644686571,10454,312640,96,ALDH1A1,0.64518528484848,0.217002195910467,0.0917415932097518,0.169827301162855,0.281172307484748,0.419002932441738,25.6165878078577,3.111278462559277,7,10454,312640,96,P00352,Retinal dehydrogenase 1,9,75515578,75695358
ALDH3A1,0.846804245032205,0.599929800630231,0.14985483513592,0.812687577818273,10454,312773,98,ALDH3A1,0.499912316097847,0.337474278331121,0.190034642685124,0.213049337892479,0.045536540542745,0.0314561881559493,804.022359234035,5.40621565629523,4,10454,312773,98,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring",17,19641297,19652256
ALDH5A1,0.906129874229551,0.945972739009937,0.217486605707649,0.50923982073723,10454,317463,99,ALDH5A1,0.100486255196229,0.0132046309344361,0.0146638659294076,0.247553509683273,0.379448089121308,0.438189730603239,51.7539953187714,6.853595621821634,8,10454,317463,99,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",6,24495080,24537435
ALPP,0.535239429943046,0.801373867209401,0.787818734576523,0.798064476139635,10454,312825,102,ALPP,0.196397981083117,0.3907677053635,0.64645841760411,0.430879837555745,0.600459261895164,0.527259435490963,302.004642960115,29.078228802643203,23,10454,312825,102,P05187,"Alkaline phosphatase, placental type",2,233243244,233247599
AMBN,0.177291454092365,0.530923666250995,0.955914822959885,0.938217504162843,10454,313327,103,AMBN,0.651750283123772,0.433861138810694,0.22593029621226,0.976804138272612,0.0807599309203453,0.0248875265503027,16.9423033325276,4.0276965872162185,6,10454,313327,103,Q9NP70,Ameloblastin,4,71457973,71473005
AMBP,0.571218704500678,0.579539740834597,0.134927516845026,0.864954264284561,10454,312413,104,AMBP,0.585717130986275,0.846898002822799,0.851010393383107,0.559767023911434,0.664949400893126,0.490248567920407,18.5969162260715,7.839926943810805,22,10454,312413,104,P02760,Protein AMBP,9,116822407,116840752
AMIGO2,0.284671778225425,0.532951757020142,0.977772711329279,0.878302680939407,10454,312825,108,AMIGO2,0.905618957176427,0.919149914178188,0.694227040318092,0.0432069568705355,0.020021592924884,0.0532963616244784,48.5305724057841,2.9933904825864546,9,10454,312825,108,Q86SJ2,Amphoterin-induced protein 2,12,47469490,47473734
AMN,0.969339057831547,0.714442852410845,0.218367302340509,0.384488470606929,10454,313327,109,AMN,0.530109552808514,0.766174188030235,0.709754630944177,0.649116608492648,0.724011810290863,0.507663962470093,283.646336387698,3.1546013273539506,6,10454,313327,109,Q9BXJ7,Protein amnionless,14,103388993,103399933
AMOTL2,0.352627386722136,0.653955484976016,0.28261028061024,0.911926950595354,10454,317666,111,AMOTL2,0.201978827697721,0.409381492139259,0.690746706138245,0.703229053240896,0.909980860684589,0.83473221499773,10.1663694784668,2.631702908236236,2,10454,317666,111,Q9Y2J4,Angiomotin-like protein 2,3,134074716,134094321
AMPD3,0.883037361000862,0.617724280258834,0.706709383853841,0.946778537697359,10454,317485,112,AMPD3,0.290647782842159,0.435304875618038,0.459617417575998,0.182467975211872,0.0893469089232998,0.0805857932306799,25.3263493775096,12.265767445828155,23,10454,317485,112,Q01432,AMP deaminase 3,11,10329860,10529126
AMY1A_AMY1B_AMY1C,0.750399059844669,0.503597174821957,0.157302667513856,0.148146393107631,10454,319363,113,AMY1A_AMY1B_AMY1C,0.944690431064802,0.996395945911982,0.960860533611445,0.171710126301582,0.278925781079366,0.407640547858221,824.545060616669,9.903344526233145,4,10454,319363,113,P0DUB6_P0DTE7_P0DTE8,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,1,104197912,104301312
AMY2A,0.845429562988754,0.711638556328601,0.38605372621252,0.362871778923567,10454,314059,114,AMY2A,0.954617783168984,0.984774297419612,0.868418366080152,0.487549557229145,0.577782154052293,0.432841514585683,1379.21533890063,108.33819017233496,3,10454,314059,114,P04746,Pancreatic alpha-amylase,1,104159999,104168402
AMY2B,0.198850480407578,0.47732167425045,0.598701615148865,0.582079124414358,10454,315075,115,AMY2B,0.635070625486905,0.386819890145864,0.195686812898248,0.641976033769916,0.359263371649657,0.175982405111059,920.17046243724,107.4032970351838,5,10454,315075,115,P19961,Alpha-amylase 2B,1,104096437,104122156
ANG,0.96740272802939,0.99642294626156,0.192341246520282,0.968750669751215,10454,312730,116,ANG,0.056280291954025,0.161735524604991,0.996654328425314,0.816832143488038,0.967431974298261,0.910724478953139,360.532023757083,7.396617365859978,31,10454,312730,116,P03950,Angiogenin,14,21152336,21167130
ANGPT2,0.668102609215646,0.654498993488895,0.819518028130233,0.840795015401902,10454,312360,118,ANGPT2,0.930001631960342,0.501462437298733,0.241353414274301,0.954578743684592,0.97751694739447,0.837172399631081,27.2109437495404,3.672640137007504,27,10454,312360,118,O15123,Angiopoietin-2,8,6357172,6420930
ANGPTL1,0.736309496749321,0.546242448460411,0.901009903620509,0.927638663474696,10454,313138,119,ANGPTL1,0.974356483646574,0.952190544642024,0.755530266155469,0.320347960544515,0.518492898761443,0.567944665876837,178.755316638566,27.32787762251354,8,10454,313138,119,O95841,Angiopoietin-related protein 1,1,178818840,178840187
ANGPTL2,0.959575548168957,0.742395632833831,0.980232908742047,0.991037488138124,10454,312617,120,ANGPTL2,0.990302283345683,0.543025123717354,0.2691658161858,0.472013564348278,0.626932129841774,0.518650594372499,25.9183387496305,2.6208823871226032,3,10454,312617,120,Q9UKU9,Angiopoietin-related protein 2,9,129849611,129885162
ANGPTL3,0.434510722118172,0.210614435789315,0.00259315866754423,0.108702133973291,10454,312613,121,ANGPTL3,0.0299510780904556,0.0442631449542635,0.217126772627884,0.618569931108141,0.874535662758291,0.886862932623148,481.953113254001,5.51553744630925,4,10454,312613,121,Q9Y5C1,Angiopoietin-related protein 3,1,63063158,63071830
ANGPTL4,0.849484828235469,0.450394614220043,0.568077705014928,0.580218282975252,10454,312549,122,ANGPTL4,0.979667481549845,0.582908552739016,0.298977622739434,0.0208385469551207,0.0672843226551813,0.81062166236158,269.200243884315,11.673399316557378,7,10454,312549,122,Q9BY76,Angiopoietin-related protein 4,19,8428173,8439257
ANGPTL7,0.706024628107863,0.591541255243113,0.849676010873562,0.96581534609045,10454,312360,123,ANGPTL7,0.739199177278839,0.55088432282986,0.298343771971151,0.267224944812811,0.473641353472545,0.607606828323002,713.013176602566,2.423261851003691,3,10454,312360,123,O43827,Angiopoietin-related protein 7,1,11249398,11256038
ANKMY2,0.157487347319578,0.949392162001254,0.925703135964111,0.633085222650542,10454,318326,125,ANKMY2,0.246230159749343,0.497488488291258,0.819856919306339,0.58619219611317,0.690395910916094,0.504886787671645,10.5336188940667,3.241243840854998,13,10454,318326,125,Q8IV38,Ankyrin repeat and MYND domain-containing protein 2,7,16639401,16685442
ANPEP,0.759510143915332,0.544968589670823,0.163295773776578,0.316707515620568,10454,312550,129,ANPEP,0.192135424703053,0.407299793561813,0.757518151638509,0.600566244932165,0.743814182972111,0.57294166380625,334.711243014853,36.093207666952594,19,10454,312550,129,P15144,Aminopeptidase N,15,90328120,90358633
ANXA10,0.307356753796529,0.548815676344475,0.193854185791904,0.933513892785579,10454,313518,131,ANXA10,0.160029565931002,0.367296995058474,0.864052905508892,0.33229970563525,0.61014521913154,0.826220211163984,16.4504715991978,2.1337071146491704,3,10454,313518,131,Q9UJ72,Annexin A10,4,169013666,169108841
