gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,ukb_prot_sample_size,gene_ind,protein_name,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
O00206,0.2252858016327564,0.864100795955522,0.8005683455104446,0.2238922608398409,0.8312556698466924,0.8438914388282344,0.2757914175450317,0.5750482393949075,0.9227408614360214,0.3296467551801189,0.4669636086313455,0.999347180040788,10454.0,318326.0,35692.0,2696.0,Toll-like receptor 4,TLR4,0.715488153409727,0.7147747138381159,0.7712206611118309,0.9980387583782275
O00214,0.2238908355642116,0.8824426812857016,0.0120532410902094,0.2682522499419806,0.8241215997562301,0.0721477230677212,0.8961714029393175,0.618736517203107,0.2583627282526092,0.566266292210727,0.9232391029190614,0.521957461696775,10454.0,312346.0,42852.0,1580.0,Galectin-8,LGALS8,0.03802788766598214,0.2208926301662238,0.714697181689454,0.8076976854865904
O00220,0.0892114968378274,0.278556731665713,0.4783167506992852,0.1095041337565799,0.3326604990477843,0.6454924919185907,0.4147427143231182,0.7963784174174378,0.0121844880662885,0.4433838374092059,0.9077438194565814,0.0139179593560858,10454.0,312918.0,42169.0,2716.0,Tumor necrosis factor receptor superfamily member 10A,TNFRSF10A,0.1912502016200779,0.2565173353881676,0.03795238608448687,0.04814611928973356
O00221,0.3803714113348048,0.2418464298483478,0.7853309615875441,0.7688828315162665,0.2037432910029174,0.7951789640616673,0.8893832036075229,0.5693396004642295,0.3712155129337715,0.991523700256977,0.5231717741571396,0.7777330504164992,10454.0,313474.0,41503.0,1855.0,NF-kappa-B inhibitor epsilon,NFKBIE,0.4792014992922333,0.6134400676439612,0.724490368828515,0.9754425710272345
O00241,0.4202748712302242,0.7311481063024418,0.5180636776772003,0.5240758646354089,0.6802512167864143,0.484744758704093,0.9551713901873264,0.7608028406486493,0.664578176552973,0.882341152506118,0.7202019062479997,0.6075109574319537,10454.0,312722.0,42416.0,2456.0,Signal-regulatory protein beta-1,SIRPB1,0.5718613428504193,0.5692888432247489,0.8942177132808384,0.7856601322466062
O00244,0.755356205973168,0.9604735492315016,0.5802687539912017,0.933747319613047,0.9152896461553194,0.5918326303217365,0.3234617031044313,0.0435275068165501,0.0014041467070768,0.8081647999740929,0.161734941353946,0.0121227678026213,10454.0,312549.0,42625.0,201.0,Copper transport protein ATOX1,ATOX1,0.9007093036184309,0.8943042130676278,0.004070619451392643,0.03576604588969112
O00292,0.3307013857543529,0.3051776668666579,0.2015767875338633,0.3436722145876018,0.8256834382800033,0.1809031479424887,0.1664065150891208,0.7778467375372708,0.4802852822284035,0.1269351228791967,0.5845587448006644,0.2926117177726541,10454.0,312418.0,42773.0,1568.0,Left-right determination factor 2,LEFTY2,0.26954139248311526,0.45146697142953196,0.43665082661288024,0.25738980408996603
O00300,0.8405174132960285,0.7811920364889179,0.8305996271132815,0.9896469780472312,0.5951535611165465,0.5731750324512547,0.984877388795515,0.3946175003321989,0.3232747615613072,0.941527398433224,0.406386373632411,0.38924884586245,10454.0,312664.0,42480.0,2720.0,Tumor necrosis factor receptor superfamily member 11B,TNFRSF11B,0.8204567131355212,0.9695616992506411,0.9527668755043459,0.8196814936801327
O00308,0.7817712231317553,0.8860796379966109,0.4268439999460883,0.6816136778349984,0.887059980556843,0.9420487586430656,0.7552342352237152,0.7565719113655285,0.2892040606858705,0.5371036555784487,0.9868177414545825,0.3638403232013428,10454.0,312918.0,42169.0,2896.0,NEDD4-like E3 ubiquitin-protein ligase WWP2,WWP2,0.7815453799103473,0.8951166690107235,0.6297945290244389,0.9600778071771139
O00339,0.620842191725664,0.345962562090828,0.1073880891729824,0.3295459085636437,0.5832732822472955,0.1838115385518669,0.9659557765522228,0.5664129308883374,0.7316792424319828,0.7970056512774049,0.5615411116274486,0.8176822709303816,10454.0,312609.0,42549.0,1680.0,Matrilin-2,MATN2,0.25120327496123085,0.323309444305924,0.9107447480125888,0.7550101862804508
O00391,0.0299714230631932,0.4859176487761372,0.734875267989995,0.0313219973408409,0.754133308019911,0.7540813420683375,0.686965540347628,0.9054737339061588,0.6001188994479134,0.9259636319944148,0.683859320478881,0.4216276214363781,10454.0,318014.0,36068.0,2218.0,Sulfhydryl oxidase 1,QSOX1,0.09525343264017283,0.11319641898247701,0.8046614897825559,0.8167425439464204
O00451,0.7359198033281773,0.986472179885156,0.2989634456628951,0.9387441474309428,0.5030421757980952,0.1176242750723766,0.0405753524494095,0.2288861265285023,0.9811733856392444,0.4663359105958393,0.3719192722804716,0.9995021544803304,10454.0,312825.0,42280.0,1145.0,GDNF family receptor alpha-2,GFRA2,0.9599200117882278,0.7248504291096609,0.8850499659767679,0.9985052300346389
O00468,0.540576548200933,0.9400382762371212,0.4604022457073535,0.3507609801021782,0.9403746666452356,0.5416883037405391,0.7902166693686921,0.6551262637998866,0.6477026816732405,0.8815422687481977,0.4141758309893616,0.7249343354652897,10454.0,312493.0,42688.0,71.0,Agrin,AGRN,0.83471760766609,0.8251610237954773,0.7096297318068959,0.7572200891024319
O00533,0.6285369545900956,0.065448362283992,0.8872158400680448,0.9039413030576712,0.0275973337710747,0.8954123535472014,0.4474474321556612,0.9795641816917507,0.6691222149814616,0.5058961254341592,0.8016415385275698,0.7178878202909567,10454.0,312553.0,42608.0,561.0,Neural cell adhesion molecule L1-like protein,CHL1,0.3387759670286229,0.1624333170506141,0.9409143585899855,0.7032033687168288
O00548,0.4218532843752827,0.188924274546614,0.5652996982303662,0.2562633506926044,0.2827412282333379,0.7538226564651571,0.7348298379270435,0.4607621526629964,0.2703038402993687,0.8142720621518641,0.5471369841492975,0.2911937844785135,10454.0,312549.0,42625.0,820.0,Delta-like protein 1,DLL1,0.35032729762542364,0.42202508585066706,0.4899375654385045,0.5922166037720756
O00559,0.97462445025722,0.6655132004962837,0.5999224992973503,0.853533171008134,0.3391969854761051,0.7106920808160488,0.8092618422217148,0.2131990193954424,0.2292095414298861,0.559980238489324,0.817296658786161,0.728358943221141,10454.0,312918.0,42169.0,875.0,Receptor-binding cancer antigen expressed on SiSo cells,EBAG9,0.9299662889122733,0.7044106434801467,0.40348130501949114,0.7278919936964211
O00584,0.4526390989220803,0.314124574885668,0.742436640709101,0.5783853175787809,0.953249027138909,0.7353815307941699,0.929952147897774,0.4053834704791194,0.1616386025464555,0.8071329767186649,0.7068242840011818,0.5328965982076347,10454.0,312380.0,42804.0,2297.0,Ribonuclease T2,RNASET2,0.5151459166255353,0.8847849575963239,0.7126462867355225,0.7086587724642989
O00585,0.6283240449396086,0.0661737444703784,0.7208122640600461,0.6652133253054566,0.98191934114246,0.6389261868337488,0.286453006422122,0.213782633570774,0.2200692899329092,0.7336978170330724,0.6479560425856545,0.5902979535157197,10454.0,312493.0,42688.0,390.0,C-C motif chemokine 21,CCL21,0.2263452930529567,0.9491619783770778,0.23678829581043453,0.6637415060907058
O00592,0.5199526866500185,0.0798956106047877,0.6513410321868259,0.7288286209008281,0.0502550961434875,0.5191634963303791,0.41749208561491,0.6529802751704319,0.2259333721008116,0.762352318834134,0.7799732844599597,0.4471030398253959,10454.0,312825.0,42280.0,2095.0,Podocalyxin,PODXL,0.23378032006940547,0.16278146845907726,0.4064757457750315,0.6959362937907216
O00602,0.2591559902008583,0.6078785783691562,0.840899554281364,0.9102481048597032,0.9546877889195322,0.9760769599271186,0.2426456001136014,0.4387950206391112,0.6394138632723532,0.6867543333600565,0.2186272234988619,0.7495500362430718,10454.0,317442.0,36735.0,1019.0,Ficolin-1,FCN1,0.6247317427072292,0.9599372916432994,0.41966058126072175,0.546615620079576
O00622,0.920036586053824,0.6806212444974766,0.6375177551133354,0.9272893561266954,0.7747381092242143,0.3731290121504637,0.9459513074007831,0.4164786021230352,0.5103963764273822,0.8735819512622267,0.4642456252260133,0.437325585449016,10454.0,312886.0,42210.0,403.0,CCN family member 1,CCN1,0.827839622957637,0.829349298307327,0.843374128147919,0.6923855699667968
O00626,0.0984571580205042,0.5498329144401395,0.5209273030163775,0.8047217796551009,0.6432407289425119,0.4184147997069404,0.7627566086535587,0.6733500950867812,0.4409265368447267,0.806242693855386,0.6419446725993052,0.4591071873132716,10454.0,313001.0,42091.0,391.0,C-C motif chemokine 22,CCL22,0.2550918295685934,0.6593425638592003,0.6477103545859259,0.6707381441568345
O14530,0.0240608826830431,0.198570934736953,0.8019206613649112,0.0321681943125334,0.1880750731732063,0.2165776929015377,0.0149903600759306,0.4769937643219754,0.1593773800836926,0.023063106019738,0.6916611000184001,0.2649467358202971,10454.0,317485.0,36674.0,2809.0,Thioredoxin domain-containing protein 9,TXNDC9,0.07113684312119489,0.07447206741147755,0.04107639903307009,0.06719070699444962
O14594,0.6497788270478246,0.8028882357133678,0.3042938570122803,0.8624457992384762,0.8812599204341294,0.4815232872763214,0.9408521043842236,0.2729874962632306,0.9163562021732968,0.97633457611289,0.2603975510759135,0.9688668705966476,10454.0,312346.0,42852.0,1821.0,Neurocan core protein,NCAN,0.6216214476688076,0.8180952162906812,0.8880077929140189,0.9581393435795926
O14618,0.0270632870421723,0.1999603680369637,0.0164757788736497,0.0272634311372383,0.1981212953524162,0.0196452549363645,0.0298113601929865,0.9103164469347178,0.2472366500432221,0.0543273081685917,0.682255112465244,0.3212948739796016,10454.0,312918.0,42169.0,410.0,Copper chaperone for superoxide dismutase,CCS,0.029377902131624167,0.032563596117780425,0.11152869068638804,0.1522480598553218
O14625,0.992130609534804,0.3750979069733651,0.7965943786499137,0.9438004941704136,0.3551132511003263,0.7860711538213581,0.3232262677513925,0.4254288546873361,0.210469573028185,0.7397599078213486,0.9107357907372018,0.4407644905627955,10454.0,312346.0,42852.0,741.0,C-X-C motif chemokine 11,CXCL11,0.9769592739794901,0.8599426991411108,0.30245875395283606,0.8033304968936127
O14662,0.0627658440704387,0.4032877324718228,0.1471427345046555,0.0689424755996901,0.6656739664760409,0.0525631505845143,0.6071650391322974,0.4330089419287466,0.4897872034673676,0.6674782724101918,0.4059966084463845,0.5413130399077293,10454.0,313474.0,41503.0,2585.0,Syntaxin-16,STX16,0.12371777808900286,0.09301924919066723,0.5110595697212877,0.5429283638835292
O14717,0.5649879551994619,0.7437196392454686,0.5983902677883386,0.8299906623907494,0.9545216071361904,0.4145939211606956,0.942680210233779,0.6378204948387054,0.85372977671463,0.783700781372906,0.9571280220567564,0.8606100279890297,10454.0,317953.0,36113.0,2774.0,tRNA (cytosine(38)-C(5))-methyltransferase,TRDMT1,0.6465366830151913,0.890418356018141,0.8854863311098178,0.9133981781974853
O14737,0.7928431398049811,0.859683985303458,0.9557758614411436,0.8504651946871261,0.4305513991555217,0.9596917550060984,0.7424269995012263,0.8742225526335063,0.6846641256853373,0.9836433163062506,0.8199817503183551,0.5770260724037475,10454.0,312346.0,42852.0,1998.0,Programmed cell death protein 5,PDCD5,0.9120835205929008,0.9036137621417393,0.7954158608578246,0.955389850792526
O14745,0.4105222452068726,0.8795608239186627,0.6052835308244271,0.6232699989977186,0.910795697569782,0.5991021750792733,0.9362293757854148,0.8142927627830064,0.9614004108880077,0.7887394653829563,0.954591061806986,0.8820419836592951,10454.0,318083.0,35941.0,2481.0,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,0.7254869309033505,0.8027146695655669,0.9356868493975813,0.9138670435738832
O14763,0.9648634325847956,0.9375726913157412,0.2724213466505033,0.5375483523073026,0.8593000645432507,0.2833364554392471,0.1383658575991027,0.7635185363783593,0.0398816108450796,0.1320928196543202,0.7825305624381872,0.034476279353045,10454.0,312918.0,42169.0,2717.0,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B,0.9288002613332536,0.6408750485419717,0.10236824497252195,0.09073440331097654
O14773,0.2710945482555664,0.0975455165390839,0.9598965968063976,0.258042653057647,0.1018043457385645,0.9379945227974384,0.9916889996202,0.7615980857572493,0.5649839139915196,0.957745362661886,0.7851747101164405,0.4818931847660831,10454.0,312912.0,42199.0,2762.0,Tripeptidyl-peptidase 1,TPP1,0.7896682125253446,0.6117223442419644,0.975915730355127,0.8940931623904039
O14786,0.7501482517175221,0.7306116399767664,0.509536115500879,0.9352055395480784,0.963002596597321,0.5094366508015691,0.921150195899982,0.5704020812727257,0.8094547668228307,0.6876644719788123,0.5165785113504135,0.9255998297515003,10454.0,312434.0,42739.0,1901.0,Neuropilin-1,NRP1,0.680912142800567,0.9300897111790867,0.8445081241798262,0.8257402692967002
O14788,0.8095899653989677,0.6370917405035352,0.0332358038820118,0.7723804999125256,0.991113736759643,0.0323713339940559,0.7929446778197394,0.7534256059414217,0.9420796776936587,0.993975331362782,0.9758398261878942,0.9895510173831756,10454.0,312713.0,42415.0,2735.0,Tumor necrosis factor ligand superfamily member 11,TNFSF11,0.11944861452527111,0.964987020211996,0.8827235247352693,0.9901003742460899
O14791,0.4305085986104033,0.8507537327208214,0.0143887466043974,0.7244387764977003,0.3704319482498459,0.0796398724574179,0.6730960762720644,0.4902322807979946,0.042265446074286,0.6676087631833518,0.3796033087030865,0.1098546744748484,10454.0,317378.0,36808.0,157.0,Apolipoprotein L1,APOL1,0.04657895949303764,0.22586824028163544,0.1303288327175008,0.2728398407684052
O14798,0.4159653070111772,0.5662969306526413,0.7222625450730651,0.3271248637602812,0.8102327369539899,0.545053387197924,0.874856307464988,0.4309555255365052,0.816444796368757,0.5029766833123128,0.5081569433457879,0.299279686853507,10454.0,312553.0,42590.0,2718.0,Tumor necrosis factor receptor superfamily member 10C,TNFRSF10C,0.5810022710699323,0.6036188805566602,0.7843205669086757,0.4275342555998254
O14828,0.2596485875915866,0.1239137546673803,0.2561996982879049,0.6501074233103793,0.7942296701248881,0.313588793311329,0.0009169347850358,0.0012003121573091,0.00304493660346,0.9631935804843718,0.9766646954717584,0.8260495438302902,10454.0,312825.0,42280.0,2348.0,Secretory carrier-associated membrane protein 3,SCAMP3,0.1925000460077635,0.6185396651978661,0.0013320800285849255,0.9602030461186732
O14836,0.7175591708785084,0.121471313014035,0.0263812146344847,0.6765612874294453,0.1905669481757399,0.0257690594325821,0.2961126453284896,0.4569457058899892,0.799897444437669,0.4131109541996491,0.7115044977370033,0.814769337558129,10454.0,312609.0,42549.0,2722.0,Tumor necrosis factor receptor superfamily member 13B,TNFRSF13B,0.0685436402850938,0.07128273331082746,0.551947836899366,0.6888704440264074
O14841,0.5883818786477453,0.0239163845497786,0.8368834760693554,0.4806565658828793,0.0200639553673951,0.9683917646686252,0.6027961849643875,0.7758415868340809,0.4653479450420539,0.7065242302561299,0.7168056428509184,0.5434834414497454,10454.0,318239.0,35805.0,1943.0,5-oxoprolinase,OPLAH,0.08315241929560041,0.1504515899908908,0.6392007007235938,0.6646104181437658
O14879,0.9346213610238782,0.7167134279433371,0.1453765822316536,0.904360156689122,0.9594935597061892,0.160721184424707,0.6783476276941016,0.8652962512996855,0.8802006741583437,0.6884769354147577,0.7435579572372957,0.5562645949570673,10454.0,317953.0,36113.0,1327.0,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3,0.7777631609053397,0.9000093235672908,0.8380331371756501,0.6729222164244629
O14904,0.4295228382601787,0.9018464297173991,0.3387837928154084,0.9751933351741008,0.3695846965351737,0.5530185331881083,0.3660349119903328,0.0347960559856318,0.1763508280166935,0.9036611109731,0.3134132836252404,0.4628877038574742,10454.0,313327.0,41712.0,2895.0,Protein Wnt-9a,WNT9A,0.7121518059737725,0.9252511178110987,0.0834808885143104,0.7161562691956169
O14933,0.0257621082268231,0.10153201928917,0.0803994465614897,0.0271714219216242,0.1103629502156402,0.169320522639626,0.9911675562750752,0.7593355374712822,0.1492679100398368,0.9477888514425388,0.6660225226806751,0.1457646039332956,10454.0,317414.0,36766.0,2817.0,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6,0.04925793070248313,0.058450781825148956,0.9728723596105266,0.8156536760485378
O14960,0.6019197692761169,0.1778776790189557,0.3265779750587041,0.6791681042303352,0.1725876398683519,0.4018881720000302,0.4815171309743713,0.9602874433494966,0.9010221081560964,0.47775765227144,0.9591166316751524,0.891969829786807,10454.0,317414.0,36766.0,1567.0,Leukocyte cell-derived chemotaxin-2,LECT2,0.3222976951057962,0.3656331271451946,0.9154489077060908,0.911457982731483
O14967,0.0761831129261513,0.4237958443189837,0.708871508042265,0.5396277784344732,0.788845437933008,0.8048218016256878,0.8495622509116884,0.1885795574010377,0.2872841265566871,0.6050293323498335,0.1710960195011397,0.3278691635748645,10454.0,318237.0,35776.0,595.0,Calmegin,CLGN,0.22235635420148342,0.7404898088683686,0.46626361530518334,0.3176040013130914
O15013,0.6827019921708743,0.2238008419222606,0.8578324049373303,0.8811213452616554,0.9285695236778256,0.8207160521143996,0.878679546000215,0.0747321035698775,0.1647195224424093,0.8749485921480039,0.3027102085485007,0.2580214522677572,10454.0,317463.0,36701.0,174.0,Rho guanine nucleotide exchange factor 10,ARHGEF10,0.6522053816215209,0.8921959385156379,0.22818681167843652,0.5778462342711637
O15018,0.8443394555410911,0.8905364224713161,0.8354449622590238,0.6836411061174228,0.9123639138455912,0.6809064812205456,0.1821634540026451,0.1901372067053715,0.0606684707088953,0.2765268811250916,0.2920814684434656,0.0703064927668791,10454.0,318445.0,35567.0,2018.0,PDZ domain-containing protein 2,PDZD2,0.8610536323301623,0.8230630395468159,0.1115720578872968,0.14622296400802887
O15031,0.7515463450983448,0.1915973969153964,0.0989018137667598,0.5028052756506514,0.3497185571153022,0.3193168789564594,0.7033490757730481,0.1336310887501799,0.3948414441998588,0.5819182646594577,0.8746667963101106,0.3238527918198437,10454.0,312388.0,42790.0,2082.0,Plexin-B2,PLXNB2,0.22288741832663628,0.38445676437231446,0.3248316839370464,0.6909927289288257
O15123,0.6872580777985914,0.7008808335365551,0.6888200021834786,0.6446452828128975,0.7036144143342684,0.7342774167950388,0.4440538636466998,0.7472706268664988,0.7328170808100685,0.4516931748620975,0.6883783311050056,0.6741013460506731,10454.0,312360.0,42838.0,118.0,Angiopoietin-2,ANGPT2,0.6924012437963528,0.6971139061383169,0.6643351818129866,0.6144945778817884
O15182,0.5430955393811079,0.9989332644521354,0.036639043565539,0.4449567092262169,0.5134500779908324,0.0309996592626738,0.0246519415228642,0.0851535632006102,0.1523716523175626,0.0967031574849434,0.4823857048250706,0.6340364093455393,10454.0,317541.0,36611.0,538.0,Centrin-3,CETN3,0.9967059166766945,0.08965434305065556,0.05127646999461721,0.2611285512337654
O15197,0.8537786287556198,0.1459329175103258,0.725890741472567,0.8179068201585644,0.7823477316546676,0.7231203688408773,0.2800214587113684,0.4553769739094155,0.4686533466487699,0.4653452543347168,0.8267036342418035,0.5688385554415536,10454.0,312974.0,42102.0,949.0,Ephrin type-B receptor 6,EPHB6,0.5883079425561717,0.7799020851012095,0.3912224784848848,0.6690415646165813
O15232,0.1458622488823757,0.1897433049917945,0.8731039085349568,0.2266789966084931,0.1824181827876374,0.9076415822778292,0.5047190650824305,0.302466523050447,0.0589717172849959,0.6542560387424365,0.3141711649056982,0.0852337462056084,10454.0,312975.0,42103.0,1681.0,Matrilin-3,MATN3,0.38559222759027145,0.5670227013623645,0.14682928464236716,0.2135818538325946
O15240,0.2975693165086731,0.1130565663218084,0.1285601112593609,0.9008236910039066,0.1163489927270284,0.1089621101255154,0.3760256442301611,0.7234142643145158,0.4789537451741805,0.5110679351779734,0.8884529006404216,0.6195940743780936,10454.0,317463.0,36701.0,2854.0,Neurosecretory protein VGF,VGF,0.15252328304932922,0.29085466788873315,0.5389399897412778,0.7585197615951675
O15269,0.2793813520743231,0.9007093959787706,0.6381648838926497,0.2032189896527469,0.8835239949675113,0.3945128521117474,0.2886764812195704,0.4311716038244276,0.2442954114114681,0.3787150352014243,0.7762865449993165,0.4495251530432832,10454.0,317485.0,36674.0,2556.0,Serine palmitoyltransferase 1,SPTLC1,0.7352542778361313,0.5945384501195226,0.3100196703062289,0.5648665616077698
O15305,0.3632315162094324,0.5420752173785477,0.1726509048072377,0.8929731947943762,0.6549126555562309,0.8966744517059947,0.1639798397918987,0.7019282583285675,0.75349665348478,0.7862623039539145,0.4594747415315937,0.9304593151869178,10454.0,318445.0,35567.0,2086.0,Phosphomannomutase 2,PMM2,0.31397586200915784,0.859742938269715,0.49912336168818877,0.8442683165020777
O15335,0.6490158637958561,0.5204709674456302,0.1601896720705788,0.3573803942789971,0.9038569966885514,0.1656453547083309,0.5993475838231633,0.6419938560405669,0.9663535595025718,0.3795638157242101,0.6664880626440475,0.7250033119582749,10454.0,318083.0,35941.0,553.0,Chondroadherin,CHAD,0.37466048736909385,0.6008750737319055,0.9091666715931312,0.6055749272582676
O15354,0.4834914458206707,0.4096938601485588,0.8179796443671472,0.606267253573911,0.4295567488965195,0.9314543601370344,0.2893579068206525,0.5282796997210399,0.0025365432111222,0.3841088676487861,0.4021632537268395,0.0105719072578861,10454.0,313327.0,41731.0,1213.0,Prosaposin receptor GPR37,GPR37,0.6220672246667358,0.8189699846532225,0.0075667606061312065,0.030910252645146852
O15389,0.2913619464100405,0.1856327022217994,0.5861119941372528,0.1409255172000075,0.439432784751031,0.5596893194311858,0.6273638690418814,0.5959758520360314,0.4027286305922709,0.609349887312961,0.6007272108960588,0.3888526220702154,10454.0,312640.0,42502.0,2449.0,Sialic acid-binding Ig-like lectin 5,SIGLEC5,0.3122972109425597,0.30474506398776624,0.5441165633654227,0.5339368631683311
O15394,0.912493651936536,0.6772643560284083,0.4305201817519094,0.75575529197142,0.7113555721318706,0.4094626431916117,0.5142956043393818,0.2752054589801515,0.0868485580426647,0.5414553850500515,0.2908892919196261,0.0832614477948451,10454.0,312640.0,42502.0,1820.0,Neural cell adhesion molecule 2,NCAM2,0.7930975015324362,0.649866874859143,0.19109938160534673,0.19130525322404673
